OBJECTID_1,DEPCODE,FIPS,COUNTYNAME,County_1,County2,County3,State,CountyPopulation,NumPeopleTested,TPositive,TNegative,TInconc,TPending,T_Total_Re,T_LabPriva,T_LabDOH_R,T_LabPri_1,T_LabDOH_N,C_Female,C_Male,C_SexUnkn,C_AllResTy,C_Age_0_4,C_Age_5_14,C_Age_15_2,C_Age_25_3,C_Age_35_4,C_Age_45_5,C_Age_55_6,C_Age_65_7,C_Age_75_8,C_Age_85pl,C_Age_Unkn,C_AgeRange,C_AgeMedia,C_RaceWhit,C_RaceBlac,C_RaceOthe,C_RaceUnkn,C_Hispanic,C_Hispan_1,C_Hispan_2,C_EDYes_Re,C_EDYes_No,C_HospYesRES,C_HospYesNONRES,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFL,T_total,T_negative,T_positive,Anitbody_Positive,Antibody_Negative,Antibody_Inconclusive,Antibody_tested,Antibody_PctPos,Tests_AllSources,Postive_AllSources,Negative_Allsources,TestedPeople_AllSources,Percent_PopTest,Percent_PosTests,Percent_PositivePeople,Start,End_,M_ILI,M_COVID,M_PosTests,M_PctPos,D_ILI,D_COVID,D_PosTests,D_PctPos,P_ILI,P_COVID,P_PosTests,P_PctPos,Text_ILI,Text_COVID,Text_PosTests,Text_PctPos,C_LTCF_Cases,C_LTCF_Deaths,ALL_DEATHS,ALL_ER,ALL_HOSPITAL,Perc_ER,Perc_Hosp,Perc_Died,Cases_Yesterday,Deaths_Yesterday,C_deltaCases,C_DeltaDeaths,C_Pediatric_Cases,C_Pedia_ER,C_Pedia_Hosp,C_PrisonDeaths,C_Delta2,C_Trend1,C_Trend2,Timestamp1,C_LTCF_AllCases,C_PCR_Pos,C_Antigen_Pos,Schools2wk,SchoolsAll,NewPpl_Tested,NewPpl_Pos,NewPpl_Neg,NewPpl_Positivity,Y_casesall,Y_negall,Y_testedall,Y_PctPosAll,Y_CasesD7,Y_NegTestsD7,Y_testedD7,Y_PctPosD7,Vax1shot,Vax2shots,VaxCumulative,SHAPE_Length,SHAPE_Area
1,21,41,GILCHRIST,Gilchrist,Gilchrist,Gilchrist County,FL,17615,2688,1638,1045,1,4,2678,1407,226,2,3,867,745,21,1633,36,123,259,258,237,235,208,124,99,59,0,0 to 106,40,1289,100,56,188,132,1293,208,129,0,81,0,0,44,1638,748,869,1633,5,0,6933,0,8588,6933,1638,72,228,0,300,24,8888,1710,1273,2988,17,19.2,63.6,2021/05/16 05:00:00+00,2020/09/26 05:00:00+00,NO,NO,YES,YES,increased by,increased by,decreased by,decreased by,20,66.7,12.5,12.1,%,%,%,%,0,23,44,129,81,8,5,2.7,1638,44,0,0,246,14,1,1,143,0,0,2021/06/04 01:30:52+00,109,1250,388,,,6,0,6,0,246,1253,1499,16.4,1,16,17,5.88,14,3997,4615,1.42926667869267,0.0858306455792565
2,54,107,PUTNAM,Putnam,Putnam,Putnam County,FL,72766,11008,6733,4233,0,42,10934,4283,2426,16,8,3657,3026,26,6709,177,622,993,925,920,921,941,693,380,159,2,0 to 100,42,4462,1478,570,199,931,5463,315,835,3,595,3,1,160,6733,3040,3667,6709,24,0,27620,0,34365,27620,6733,346,908,0,1254,27.59,35619,7079,5141,12262,16.9,19.9,64.3,2021/05/16 05:00:00+00,2020/09/26 05:00:00+00,NO,NO,YES,YES,increased by,increased by,decreased by,decreased by,25,18.6,29.6,19.6,%,%,%,%,3,40,161,838,598,13,9,2.4,6727,160,6,1,1079,47,7,0,228,1,6,2021/06/04 01:30:52+00,479,5793,940,,31,24,6,18,25,1079,6177,7256,14.9,20,94,114,17.54,43,16980,21882,2.24642788306399,0.199542021102928
3,62,123,TAYLOR,Taylor,Taylor,Taylor County,FL,22098,4450,2753,1689,0,8,4433,2479,269,5,0,1101,1645,2,2748,37,124,328,506,537,443,382,237,119,40,0,0 to 98,41,1695,814,121,118,150,2397,201,198,0,101,0,0,48,2753,1647,1104,2748,5,0,8620,0,11400,8620,2753,259,281,0,540,47.96,11940,3012,1970,4990,22.6,25.2,67.7,2021/05/16 05:00:00+00,2020/09/26 05:00:00+00,NO,NO,YES,YES,increased by,decreased by,decreased by,decreased by,33.3,18.2,60,72.8,%,%,%,%,2,1,48,198,101,8,4,1.7,2753,48,0,0,237,8,4,5,788,0,0,2021/06/04 01:30:52+00,87,2220,533,1,32,14,0,14,0,237,1517,1754,13.5,0,51,51,0,29,5004,6260,2.58429377087002,0.25118054425108
4,46,91,OKALOOSA,Okaloosa,Okaloosa,Okaloosa County,FL,200737,34344,20910,13328,1,105,33879,19256,1414,224,16,10950,9577,143,20670,307,1341,3128,3876,3357,2791,2963,1731,916,465,35,0 to 103,40,15371,2022,2236,1041,1884,17209,1577,1133,17,743,19,6,367,20910,9703,11061,20669,240,1,74130,0,95113,74130,20910,3069,5899,2,8970,34.21,104083,23979,19227,43314,21.6,23,69.8,2021/05/16 05:00:00+00,2020/09/26 05:00:00+00,NO,NO,NO,YES,did not change,decreased by,increased by,increased by,,2.9,4,20.6,,%,%,%,12,167,373,1150,762,6,4,1.8,20896,373,14,0,2443,61,14,2,374,0,2,2021/06/04 01:30:52+00,1250,14320,6590,,,120,14,106,11.7,2434,11801,14235,17.1,20,178,198,10.1,267,58207,69253,3.21429589557048,0.223073367473112
5,7,13,CALHOUN,Calhoun,Calhoun,Calhoun County,FL,14444,2920,1707,1206,0,7,2910,1473,231,3,0,835,860,9,1704,33,117,221,234,240,235,232,196,125,74,0,0 to 99,45,1168,189,217,130,38,1436,230,134,2,57,2,0,45,1707,862,836,1704,3,0,6300,0,8018,6300,1707,193,231,0,424,45.52,8442,1900,1437,3344,23.2,22.5,65.1,2021/05/16 05:00:00+00,2020/09/26 05:00:00+00,NO,NO,YES,YES,increased by,increased by,decreased by,decreased by,116.7,8.3,40,25.4,%,%,%,%,4,18,45,136,59,8,4,2.6,1707,45,0,0,214,12,1,3,240,0,0,2021/06/04 01:30:52+00,256,1385,322,,,5,0,5,0,214,991,1205,17.8,0,11,11,0,8,3120,3595,1.881030493214,0.139649278797146
6,50,99,PALM BEACH,Palm Beach,Palm Beach,Palm Beach County,FL,1446277,232961,148813,83268,132,748,228712,143670,2470,2642,31,75736,69209,1195,146140,2905,9771,23304,27133,23023,22453,19393,10726,6221,3797,87,0 to 107,39,75250,21103,25779,24008,38657,76186,31297,9650,174,7048,130,55,2883,148813,70560,76984,146138,2673,2,764295,0,913907,764295,148813,28589,94186,25,122800,23.28,1036707,177402,177454,355761,24.6,17.1,76.2,2021/05/16 05:00:00+00,2020/09/26 05:00:00+00,YES,YES,YES,YES,decreased by,decreased by,decreased by,decreased by,15.1,23.1,24.8,16.3,%,%,%,%,205,1097,2938,9824,7178,7,5,2,148713,2936,100,2,17482,583,207,8,939,0,38,2021/06/04 01:30:52+00,6652,126607,22206,8,19,1294,100,1194,7.7,17304,102750,120054,14.4,261,2755,3016,8.65,1530,612147,749116,4.37197700737946,0.517626395282911
7,56,111,ST. LUCIE,St. Lucie,St. Lucie,St. Lucie County,FL,305591,45748,27541,17678,7,522,44882,27114,226,199,2,14937,12350,53,27340,514,1621,3889,4518,4245,4190,3820,2637,1442,656,9,0 to 104,42,13940,5634,3592,4174,6319,15703,5318,2829,26,1951,16,2,657,27541,12450,15038,27340,201,0,123763,0,151380,123763,27541,2947,8379,5,11331,26.01,162711,30488,26057,57079,18.7,18.7,66.6,2021/05/16 05:00:00+00,2020/09/26 05:00:00+00,NO,YES,YES,YES,increased by,decreased by,decreased by,decreased by,24.2,2.2,8.4,12.3,%,%,%,%,59,230,659,2855,1967,11,8,2.4,27497,659,44,0,3088,130,27,0,310,0,13,2021/06/04 01:30:52+00,1761,25180,2361,2,38,274,44,230,16.1,3082,16545,19627,15.7,72,649,721,9.99,266,114380,144645,2.40436561289127,0.136812390223616
8,51,101,PASCO,Pasco,Pasco,Pasco County,FL,510593,66380,42934,22907,6,533,65410,40908,1664,356,5,22774,19789,9,42572,744,2916,6286,6339,6481,6696,5688,4187,2576,1010,10,0 to 105,42,32138,2603,5237,2594,8400,28964,5208,4317,78,2960,55,10,802,42933,19947,22956,42572,361,0,209441,0,252500,209441,42933,7023,17700,0,24723,28.41,277223,49956,40607,91103,17.8,18,75.3,2021/05/16 05:00:00+00,2020/09/26 05:00:00+00,YES,YES,YES,YES,decreased by,decreased by,decreased by,decreased by,2.1,29.3,13.8,7.1,%,%,%,%,49,228,812,4395,3015,11,8,1.9,42914,810,19,2,5320,215,35,3,538,1,25,2021/06/04 01:30:52+00,2164,33908,9025,2,106,197,19,178,9.6,5304,34669,39973,13.3,92,891,983,9.36,380,196109,239425,2.21152383689072,0.181730911189788
9,20,39,GADSDEN,Gadsden,Gadsden,Gadsden County,FL,46017,9163,5778,3373,1,11,9120,5315,445,14,4,3027,2709,24,5760,166,498,804,863,979,952,797,437,203,79,0,0 to 98,40,1655,2870,973,262,946,4391,423,768,1,433,0,0,99,5778,2713,3041,5759,18,1,23277,0,29098,23277,5778,319,533,0,852,37.44,29950,6097,3906,10015,21.8,20.4,66.5,2021/05/16 05:00:00+00,2020/09/26 05:00:00+00,NO,NO,NO,YES,decreased by,decreased by,decreased by,decreased by,30.8,11.1,52.4,33.8,%,%,%,%,0,10,99,769,433,14,8,1.7,5771,99,7,0,859,32,6,0,372,0,0,2021/06/04 01:30:52+00,103,4506,1272,,,26,7,19,26.9,858,4198,5056,17,9,43,52,17.31,103,15894,18629,2.03339191048036,0.128633605825398
10,37,73,LEON,Leon,Leon,Leon County,FL,288102,49919,32852,17000,9,58,48696,31596,304,931,21,17619,14116,165,31900,938,1946,11772,5480,3961,3328,2830,1515,717,351,14,0 to 106,27,15176,10349,3797,2578,3010,24609,4281,1683,57,730,44,33,332,32852,14530,18147,31899,952,1,156018,0,189024,156018,32852,3542,6993,6,10541,33.6,199565,36394,23993,60460,21,18.2,72.9,2021/05/16 05:00:00+00,2020/09/26 05:00:00+00,NO,NO,YES,YES,decreased by,decreased by,decreased by,increased by,14.1,6.7,3.5,13.7,%,%,%,%,24,102,365,1740,774,6,3,1.1,32838,364,14,1,3832,105,16,0,841,0,6,2021/06/04 01:30:52+00,731,20861,11991,10,63,118,14,104,11.9,3762,23405,27167,13.8,100,332,432,23.15,281,105445,125248,2.42861632081805,0.170704044219456
