ObjectId,State,DEPCODE,Date,cases,cases_cum,deaths,deaths_cum,deaths_rep,deaths_rep_cum,A1,A2,B1,B2
1410183,Florida,1,2020/03/02 05:00:00+00,0,0,0,0,0,0,,,,
1410184,Florida,1,2020/03/03 05:00:00+00,0,0,0,0,0,0,,,,
1410185,Florida,1,2020/03/04 05:00:00+00,0,0,0,0,0,0,,,,
1410186,Florida,1,2020/03/05 05:00:00+00,0,0,0,0,0,0,,,,
1410187,Florida,1,2020/03/06 05:00:00+00,0,0,0,0,0,0,,,,
1410188,Florida,1,2020/03/07 05:00:00+00,0,0,0,0,0,0,,,,
1410189,Florida,1,2020/03/08 05:00:00+00,0,0,0,0,0,0,,,,
1410190,Florida,1,2020/03/09 05:00:00+00,0,0,0,0,0,0,,,,
1410191,Florida,1,2020/03/10 05:00:00+00,1,1,0,0,0,0,,,,
1410192,Florida,1,2020/03/11 05:00:00+00,0,1,0,0,0,0,,,,
1410193,Florida,1,2020/03/12 05:00:00+00,0,1,0,0,0,0,,,,
1410194,Florida,1,2020/03/13 05:00:00+00,1,2,0,0,0,0,,,,
1410195,Florida,1,2020/03/14 05:00:00+00,1,3,0,0,0,0,,,,
1410196,Florida,1,2020/03/15 05:00:00+00,0,3,0,0,0,0,,,,
1410197,Florida,1,2020/03/16 05:00:00+00,1,4,0,0,0,0,,,,
1410198,Florida,1,2020/03/17 05:00:00+00,2,6,0,0,0,0,,,,
1410199,Florida,1,2020/03/18 05:00:00+00,3,9,0,0,0,0,,,,
1410200,Florida,1,2020/03/19 05:00:00+00,2,11,0,0,0,0,,,,
1410201,Florida,1,2020/03/20 05:00:00+00,5,16,0,0,0,0,,,,
1410202,Florida,1,2020/03/21 05:00:00+00,13,29,0,0,0,0,,,,
1410203,Florida,1,2020/03/22 05:00:00+00,5,34,0,0,0,0,,,,
1410204,Florida,1,2020/03/23 05:00:00+00,2,36,0,0,0,0,,,,
1410205,Florida,1,2020/03/24 05:00:00+00,9,45,0,0,0,0,,,,
1410206,Florida,1,2020/03/25 05:00:00+00,1,46,0,0,0,0,,,,
1410207,Florida,1,2020/03/26 05:00:00+00,10,56,0,0,0,0,,,,
1410208,Florida,1,2020/03/27 05:00:00+00,10,66,0,0,0,0,,,,
1410209,Florida,1,2020/03/28 05:00:00+00,4,70,0,0,0,0,,,,
1410210,Florida,1,2020/03/29 05:00:00+00,5,75,0,0,0,0,,,,
1410211,Florida,1,2020/03/30 05:00:00+00,11,86,0,0,0,0,,,,
1410212,Florida,1,2020/03/31 05:00:00+00,6,92,0,0,0,0,,,,
1410213,Florida,1,2020/04/01 05:00:00+00,4,96,0,0,0,0,,,,
1410214,Florida,1,2020/04/02 05:00:00+00,12,108,0,0,0,0,,,,
1410215,Florida,1,2020/04/03 05:00:00+00,7,115,0,0,0,0,,,,
1410216,Florida,1,2020/04/04 05:00:00+00,6,121,0,0,0,0,,,,
1410217,Florida,1,2020/04/05 05:00:00+00,8,129,0,0,0,0,,,,
1410218,Florida,1,2020/04/06 05:00:00+00,5,134,0,0,0,0,,,,
1410219,Florida,1,2020/04/07 05:00:00+00,6,140,1,1,0,0,,,,
1410220,Florida,1,2020/04/08 05:00:00+00,9,149,0,1,0,0,,,,
1410221,Florida,1,2020/04/09 05:00:00+00,14,163,4,5,0,0,,,,
1410222,Florida,1,2020/04/10 05:00:00+00,9,172,0,5,0,0,,,,
1410223,Florida,1,2020/04/11 05:00:00+00,8,180,0,5,0,0,,,,
1410224,Florida,1,2020/04/12 05:00:00+00,1,181,0,5,0,0,,,,
1410225,Florida,1,2020/04/13 05:00:00+00,8,189,0,5,0,0,,,,
1410226,Florida,1,2020/04/14 05:00:00+00,4,193,0,5,0,0,,,,
1410227,Florida,1,2020/04/15 05:00:00+00,5,198,0,5,0,0,,,,
1410228,Florida,1,2020/04/16 05:00:00+00,4,202,0,5,0,0,,,,
1410229,Florida,1,2020/04/17 05:00:00+00,1,203,0,5,0,0,,,,
1410230,Florida,1,2020/04/18 05:00:00+00,4,207,2,7,0,0,,,,
1410231,Florida,1,2020/04/19 05:00:00+00,4,211,0,7,0,0,,,,
1410232,Florida,1,2020/04/20 05:00:00+00,10,221,1,8,0,0,,,,
1410233,Florida,1,2020/04/21 05:00:00+00,6,227,1,9,1,1,,,,
1410234,Florida,1,2020/04/22 05:00:00+00,3,230,0,9,0,1,,,,
1410235,Florida,1,2020/04/23 05:00:00+00,13,243,1,10,0,1,,,,
1410236,Florida,1,2020/04/24 05:00:00+00,4,247,0,10,0,1,,,,
1410237,Florida,1,2020/04/25 05:00:00+00,5,252,0,10,0,1,,,,
1410238,Florida,1,2020/04/26 05:00:00+00,2,254,0,10,1,2,,,,
1410239,Florida,1,2020/04/27 05:00:00+00,2,256,0,10,0,2,,,,
1410240,Florida,1,2020/04/28 05:00:00+00,5,261,0,10,0,2,,,,
1410241,Florida,1,2020/04/29 05:00:00+00,3,264,0,10,0,2,,,,
1410242,Florida,1,2020/04/30 05:00:00+00,9,273,0,10,3,5,,,,
1410243,Florida,1,2020/05/01 05:00:00+00,4,277,0,10,0,5,,,,
1410244,Florida,1,2020/05/02 05:00:00+00,10,287,0,10,0,5,,,,
1410245,Florida,1,2020/05/03 05:00:00+00,3,290,0,10,0,5,,,,
1410246,Florida,1,2020/05/04 05:00:00+00,1,291,0,10,0,5,,,,
1410247,Florida,1,2020/05/05 05:00:00+00,4,295,0,10,0,5,,,,
1410248,Florida,1,2020/05/06 05:00:00+00,4,299,0,10,0,5,,,,
1410249,Florida,1,2020/05/07 05:00:00+00,8,307,0,10,0,5,,,,
1410250,Florida,1,2020/05/08 05:00:00+00,0,307,0,10,0,5,,,,
1410251,Florida,1,2020/05/09 05:00:00+00,5,312,0,10,0,5,,,,
1410252,Florida,1,2020/05/10 05:00:00+00,4,316,1,11,0,5,,,,
1410253,Florida,1,2020/05/11 05:00:00+00,6,322,0,11,0,5,,,,
1410254,Florida,1,2020/05/12 05:00:00+00,4,326,1,12,0,5,,,,
1410255,Florida,1,2020/05/13 05:00:00+00,3,329,0,12,0,5,,,,
1410256,Florida,1,2020/05/14 05:00:00+00,0,329,0,12,0,5,,,,
1410257,Florida,1,2020/05/15 05:00:00+00,2,331,0,12,1,6,,,,
1410258,Florida,1,2020/05/16 05:00:00+00,3,334,0,12,1,7,,,,
1410259,Florida,1,2020/05/17 05:00:00+00,4,338,0,12,0,7,,,,
1410260,Florida,1,2020/05/18 05:00:00+00,3,341,0,12,0,7,,,,
1410261,Florida,1,2020/05/19 05:00:00+00,3,344,0,12,0,7,,,,
1410262,Florida,1,2020/05/20 05:00:00+00,4,348,0,12,0,7,,,,
1410263,Florida,1,2020/05/21 05:00:00+00,2,350,0,12,0,7,,,,
1410264,Florida,1,2020/05/22 05:00:00+00,5,355,0,12,0,7,,,,
1410265,Florida,1,2020/05/23 05:00:00+00,4,359,0,12,0,7,,,,
1410266,Florida,1,2020/05/24 05:00:00+00,6,365,1,13,0,7,,,,
1410267,Florida,1,2020/05/25 05:00:00+00,1,366,0,13,0,7,,,,
1410268,Florida,1,2020/05/26 05:00:00+00,3,369,0,13,0,7,,,,
1410269,Florida,1,2020/05/27 05:00:00+00,2,371,0,13,0,7,,,,
1410270,Florida,1,2020/05/28 05:00:00+00,5,376,0,13,0,7,,,,
1410271,Florida,1,2020/05/29 05:00:00+00,1,377,0,13,0,7,,,,
1410272,Florida,1,2020/05/30 05:00:00+00,3,380,0,13,0,7,,,,
1410273,Florida,1,2020/05/31 05:00:00+00,1,381,0,13,0,7,,,,
1410274,Florida,1,2020/06/01 05:00:00+00,1,382,0,13,0,7,,,,
1410275,Florida,1,2020/06/02 05:00:00+00,1,383,0,13,0,7,,,,
1410276,Florida,1,2020/06/03 05:00:00+00,2,385,0,13,1,8,,,,
1410277,Florida,1,2020/06/04 05:00:00+00,2,387,0,13,0,8,,,,
1410278,Florida,1,2020/06/05 05:00:00+00,7,394,0,13,0,8,,,,
1410279,Florida,1,2020/06/06 05:00:00+00,4,398,0,13,0,8,,,,
1410280,Florida,1,2020/06/07 05:00:00+00,1,399,0,13,0,8,,,,
1410281,Florida,1,2020/06/08 05:00:00+00,5,404,0,13,0,8,,,,
1410282,Florida,1,2020/06/09 05:00:00+00,7,411,0,13,0,8,,,,
1410283,Florida,1,2020/06/10 05:00:00+00,30,441,0,13,0,8,,,,
1410284,Florida,1,2020/06/11 05:00:00+00,60,501,0,13,1,9,,,,
1410285,Florida,1,2020/06/12 05:00:00+00,22,523,0,13,1,10,,,,
1410286,Florida,1,2020/06/13 05:00:00+00,13,536,0,13,0,10,,,,
1410287,Florida,1,2020/06/14 05:00:00+00,9,545,0,13,0,10,,,,
1410288,Florida,1,2020/06/15 05:00:00+00,13,558,0,13,0,10,,,,
1410289,Florida,1,2020/06/16 05:00:00+00,16,574,0,13,0,10,,,,
1410290,Florida,1,2020/06/17 05:00:00+00,12,586,0,13,1,11,,,,
1410291,Florida,1,2020/06/18 05:00:00+00,32,618,0,13,0,11,,,,
1410292,Florida,1,2020/06/19 05:00:00+00,38,656,0,13,0,11,,,,
1410293,Florida,1,2020/06/20 05:00:00+00,40,696,0,13,0,11,,,,
1410294,Florida,1,2020/06/21 05:00:00+00,27,723,0,13,0,11,,,,
1410295,Florida,1,2020/06/22 05:00:00+00,39,762,0,13,0,11,,,,
1410296,Florida,1,2020/06/23 05:00:00+00,45,807,1,14,0,11,,,,
1410297,Florida,1,2020/06/24 05:00:00+00,59,866,0,14,0,11,,,,
1410298,Florida,1,2020/06/25 05:00:00+00,82,948,0,14,1,12,,,,
1410299,Florida,1,2020/06/26 05:00:00+00,91,1039,0,14,0,12,,,,
1410300,Florida,1,2020/06/27 05:00:00+00,84,1123,0,14,0,12,,,,
1410301,Florida,1,2020/06/28 05:00:00+00,42,1165,2,16,0,12,,,,
1410302,Florida,1,2020/06/29 05:00:00+00,40,1205,2,18,0,12,,,,
1410303,Florida,1,2020/06/30 05:00:00+00,47,1252,0,18,0,12,,,,
1410304,Florida,1,2020/07/01 05:00:00+00,92,1344,1,19,0,12,,,,
1410305,Florida,1,2020/07/02 05:00:00+00,89,1433,0,19,0,12,,,,
1410306,Florida,1,2020/07/03 05:00:00+00,85,1518,0,19,0,12,,,,
1410307,Florida,1,2020/07/04 05:00:00+00,70,1588,0,19,0,12,,,,
1410308,Florida,1,2020/07/05 05:00:00+00,52,1640,1,20,0,12,,,,
1410309,Florida,1,2020/07/06 05:00:00+00,71,1711,2,22,0,12,,,,
1410310,Florida,1,2020/07/07 05:00:00+00,90,1801,1,23,0,12,,,,
1410311,Florida,1,2020/07/08 05:00:00+00,83,1884,1,24,0,12,,,,
