PARCELID,FEDERAL_ID,STATE_ID,NAME,Population,ADDRESS,CITY,ZIPCODE,COUNTY,PHONE,TYPE,OWNER,OPERATING,OP_CLASS,YR_BUILT,FSOURCE,DATASOURCE,PROGRAMS,GRADES,LOW_GRADE,HIGH_GRADE,PRINCIPAL,ENROLLMENT,TEACHERS,STDTCH_RT,MIGRNT_STD,TITLE1SCHO,MAGNETINFO,COMMENTS,FREE_LUNCH,REDUCED_LU,FISH_FAC1,FISH_FAC2,BBSERVICE,BBPROVIDER,BBSPEED,DSTREAMSPD,FDOE_MSID,NCES_PUB,NCES_PRIV,FDOE_PRV,LAT_DD,LONG_DD,MGRS,GCID,ACRES,DESCRIPT,FLAG,UPDATE_DAY,FGDLAQDATE,AUTOID,AGELO,AGEHI,n
14571-000-000,451079,NA,ACADEMY FOR FIVE ELEMENT ACUPUNCTURE,59,305 SE 2ND AVE,GAINESVILLE,32601,ALACHUA,NA,COLLEGE/UNIVERSITY,"ACADEMY FOR FIVE ELEMENT, ACUP",PRIVATE,PRIVATE,1978,GEOPLAN,NCES 2014-2015 COLLEGE,NA,COLLEGE,COLLEGE,COLLEGE,NA,71,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,29.65006734,-82.32202285,17RLN7204380741,6608,0.7930453,ACADEMY FOR FIVE ELEMENT ACUPUNCTURE,V,3/29/2016,9/15/2017,6776,19,35,1
4.24326E+14,412173,NA,ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,356,5154 OKEECHOBEE BLVD STE 201,WEST PALM BEACH,33417,PALM BEACH,NA,COLLEGE/UNIVERSITY,BIGGIE INVESTMENTS CENTURY PAR,PRIVATE,PRIVATE,1982,GEOPLAN,NCES 2014-2015 COLLEGE,NA,COLLEGE,COLLEGE,COLLEGE,NA,424,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,26.70650077,-80.1215213,17RNK8738654229,6609,1.47774348,ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,V,3/29/2016,9/15/2017,6777,19,35,1
1.72529E+17,NA,NA,ACADEMY OF CAREER TRAINNIG,30,3501 W VINE ST SUITE 111,KISSIMMEE,34741,OSCEOLA,407-943-877,COLLEGE/UNIVERSITY,LA MIRADA-SCHIPPERS LLC,PRIVATE,PRIVATE,1986,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,U,NA,NA,0,NA,5/16/2012,NA,NA,28.30608797,-81.43941014,17RMM5691931188,5585,5.48784953,ACADEMY OF CAREER TRAINNIG,V,5/14/2012,9/15/2017,5448,19,35,1
3.05005E+12,439969,NA,ACCUPUNCTURE MASSAGE COLLEGE,37,10506 N KENDALL DRIVE,MIAMI,33176,MIAMI-DADE,NA,COLLEGE/UNIVERSITY,SVF KENDALL MIAMI LLC,PRIVATE,PRIVATE,1971,GEOPLAN,NCES 2014-2015 COLLEGE,NA,COLLEGE,COLLEGE,COLLEGE,NA,158,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,25.68614308,-80.36415263,17RNJ6380341080,6612,1.4914191,ACCUPUNCTURE MASSAGE COLLEGE,V,3/29/2016,9/15/2017,6780,19,35,1
4.30021E+11,444334,NA,ADVANCE SCIENCE INSTITUTE,69,3750 W 12 AVE,HIALEAH,33012,MIAMI-DADE,NA,COLLEGE/UNIVERSITY,CAYON FAMILY LTD PRTNRSHP NO 2,PRIVATE,PRIVATE,1984,GEOPLAN,NCES 2015-2016 COLLEGE,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,25.85563249,-80.30771583,17RNJ6936859879,8564,0.66861076,ADVANCE SCIENCE INSTITUTE,V,4/17/2017,9/15/2017,8503,19,35,1
3.0313E+12,383172,NA,ADVANCED TECHNICAL CENTERS,42,5600 NW 36 STREET,MIAMI,33166,MIAMI-DADE,NA,COLLEGE/UNIVERSITY,MIAMI-DADE COUNTY,PRIVATE,PRIVATE,2007,GEOPLAN,NCES 2014-2015 COLLEGE,NA,COLLEGE,COLLEGE,COLLEGE,NA,31,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,25.80676032,-80.28712606,17RNJ7146054478,6610,12.54068965,ADVANCED TECHNICAL CENTERS,V,3/29/2016,9/15/2017,6778,19,35,3
2.92213E+14,133872,NA,ADVENTIST UNIVERSITY OF HEALTH SCIENCES,1809,671 WINYAH DRIVE,ORLANDO,32803,ORANGE,407-303-7742,COLLEGE/UNIVERSITY,ADVENTIST HEALTH SYSTEM/SUNBEL,PRIVATE,PRIVATE,2008,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,2736,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,U,NA,NA,0,NA,NA,NA,NA,28.57609823,-81.36779278,17RMM6403261078,5591,9.40222554,ADVENTIST UNIVERSITY OF HEALTH SCIENCES,V,3/29/2016,9/15/2017,5454,19,35,1
6.20313E+15,429012,NA,AEROSIM FLIGHT ACADEMY,302,2700 FLIGHT LINE AVE,SANFORD,32773,SEMINOLE,407-330-7020,COLLEGE/UNIVERSITY,SANFORD ARPRT AUTH/CITY SANFRD,PRIVATE,PRIVATE,1963,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,44,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,U,NA,NA,0,NA,NA,NA,NA,28.77861177,-81.25146898,17RMM7545583484,5607,3.91007061,AEROSIM FLIGHT ACADEMY,V,5/14/2012,9/15/2017,5470,19,35,1
1.32311E+11,134811,NA,AI MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,758,1501 BISCAYNE BOULEVARD,MIAMI,33132,MIAMI-DADE,800-225-9023,COLLEGE/UNIVERSITY,REFERENCE ONLY,PRIVATE,PRIVATE,0,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,4029,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,U,NA,NA,0,NA,5/16/2012,NA,NA,25.78992356,-80.18861104,17RNJ8134752670,5676,10.89691189,AI MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,V,5/14/2012,9/15/2017,5538,19,35,3
4.2026E+11,444370,NA,AMERICAN ADVANCED TECHNICIANS INSTITUTE,68,6801 W 20TH ST,HIALEAH,33014,MIAMI-DADE,NA,COLLEGE/UNIVERSITY,AMERICAN ADVANCED TECH INST CO,PRIVATE,PRIVATE,1982,GEOPLAN,NCES 2014-2015 COLLEGE,NA,COLLEGE,COLLEGE,COLLEGE,NA,124,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,25.88484785,-80.32304218,17RNJ6781563106,6613,0.47978512,AMERICAN ADVANCED TECHNICIANS INSTITUTE,V,3/29/2016,9/15/2017,6781,19,35,1
