week case_mean case_median hosp_mean hosp_median death_mean death_median
7 43.58 46 56.09 59 62.8 67
8 41.64 45 54.74 60 50.33 50.5
9 45.2 50 54.35 54 55.67 52
10 46.71 50 62.67 63 50.2 48
11 45.92 48 53.86 57.5 41 41
12 46.19 48 58.02 56.5 63.5 63
13 45.16 47 54.42 58 62.89 57
14 46.11 47 53.92 57 40.14 44
15 45.78 47.5 58.3 61 59.7 56.5
16 45.64 49 58.25 60 58.93 57
17 44.61 47 57.1 58 59.33 60
18 44.79 47 55.49 58 60 61
19 44.69 47 54.45 57 64.45 63
20 44.22 46 55.73 59 62.64 66
21 44.41 46 56.39 60 55.9 60
22 43.8 47 55.2 58 54.56 57
23 44.32 47 56.11 59 57.37 61
24 44.37 47 55.83 59 58.44 60
25 44.35 47 55.83 59 56.06 57
26 44.75 48 57.41 60 58.29 60
27 44.08 47 57 60 60.46 62
