X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,TOT_RES,TOT_STAFF,BEDS,EXCESS_BED,OWNERSHIP,MEDICAIDID,MEDICAREID,STATE_LIC,SOURCETYPE
-82.42753808,29.67826607,10788,123242,NORTH FLORIDA RETIREMENT VILLAGE,8000 NW 27TH BOULEVARD,GAINESVILLE,FL,32606,NOT AVAILABLE,(352) 373-4032,ASSISTED CARE,OPEN,140,ALACHUA,12001,USA,29.67826607,-82.42753808,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2018-11-13T00:00:00Z,thevillageonline.com,-999,-999,140,-999,NORTH FLORIDA RETIREMENT VILLAGE INC.,NOT AVAILABLE,NOT AVAILABLE,4855,ASSISTED LIVING FACILITY
-82.38354287,29.63493442,13311,121324,SIGNATURE HEALTHCARE OF GAINESVILLE,4000 SW 20TH AVE,GAINESVILLE,FL,32607,NOT AVAILABLE,(352) 377-1981,NURSING HOME,OPEN,120,ALACHUA,12001,USA,29.63493442,-82.38354287,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,120,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,1170096,NURSING HOME
-82.39162961,29.70154065,4907,122709,HUNTER'S CROSSING PLACE-MEMORY CARE,4607 NW 53RD AVENUE,GAINESVILLE,FL,32606,4357,(352) 376-5151,ASSISTED CARE,OPEN,38,ALACHUA,12001,USA,29.70154065,-82.39162961,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2018-11-07T00:00:00Z,NOT AVAILABLE,-999,-999,38,-999,GAINESVILLE 4607 MC BG OPCO LLC,NOT AVAILABLE,NOT AVAILABLE,9442,ASSISTED LIVING FACILITY
-82.65600585,29.64398721,4920,123156,MISTY MEADOWS,103 NW 298TH STREET,NEWBERRY,FL,32669,NOT AVAILABLE,(352) 472-2820,ASSISTED CARE,OPEN,11,ALACHUA,12001,USA,29.64398721,-82.65600585,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2018-11-12T00:00:00Z,www.mistymeadowshome.com,-999,-999,11,-999,MISTY MEADOWS ASSISTED LIVING INC.,NOT AVAILABLE,NOT AVAILABLE,8031,ASSISTED LIVING FACILITY
-82.40648895,29.65077984,2576,121114,PALM GARDEN OF GAINESVILLE,227 SW 62ND BLVD,GAINESVILLE,FL,32607,NOT AVAILABLE,(352) 331-0601,NURSING HOME,OPEN,120,ALACHUA,12001,USA,29.65077984,-82.40648895,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,120,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,1408096,NURSING HOME
-82.41383907,29.66183876,15368,121033,NORTH FLORIDA REHABILITATION AND SPECIALTY CARE,6700 NW 10TH PLACE,GAINESVILLE,FL,32605,NOT AVAILABLE,(352) 331-3111,NURSING HOME,OPEN,120,ALACHUA,12001,USA,29.66183876,-82.41383907,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,www.consulatehealthcare.com,-999,-999,120,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,13690962,NURSING HOME
-82.33687988,29.6882754,15678,121849,ANNIE'S HOUSE,1201 NW 39TH AVE,GAINESVILLE,FL,32609,NOT AVAILABLE,(352) 505-3556,ASSISTED CARE,OPEN,14,ALACHUA,12001,USA,29.6882754,-82.33687988,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2018-10-24T00:00:00Z,NOT AVAILABLE,-999,-999,14,-999,ROLA PROPERTIES LLC,NOT AVAILABLE,NOT AVAILABLE,13015,ASSISTED LIVING FACILITY
-82.36964966,29.613902,14150,121352,SOUTHWEST RETIREMENT HOME,3207 SW 42ND PLACE,GAINESVILLE,FL,32608,NOT AVAILABLE,(352) 338-0252,ASSISTED CARE,OPEN,12,ALACHUA,12001,USA,29.613902,-82.36964966,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,12,-999,FOR-PROFIT,NOT AVAILABLE,NOT AVAILABLE,11911104,ASSISTED LIVING FACILITY
-82.59426889,29.82532699,14375,121174,PLANTATION OAKS SENIOR LIVING RESIDENCE,201 NE 1ST AVENUE,HIGH SPRINGS,FL,32643,NOT AVAILABLE,(386) 454-0801,ASSISTED CARE,OPEN,69,ALACHUA,12001,USA,29.82532699,-82.59426889,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,69,-999,FOR-PROFIT,NOT AVAILABLE,NOT AVAILABLE,11968014,ASSISTED LIVING FACILITY
-82.36000206,29.60489627,18372,121051,OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA INC,2660 SW 53RD LN,GAINESVILLE,FL,32608,NOT AVAILABLE,(352) 548-1135,NURSING HOME,OPEN,42,ALACHUA,12001,USA,29.60489627,-82.36000206,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,www.oakhammock.org,-999,-999,42,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,130471032,NURSING HOME
