X1,serial,x,y,naics,street,city,state,zip,naics_essential_classification,naics_classification_notes
2,2,-82.279332,29.504529,453920,201 NE CHOLOKKA BLVD,MICANOPY,FL,32667,Nonessential,NA
5,5,-82.3269015,29.652102,519190,214 WEST UNIVERSITY AVE,GAINESVILLE,FL,32601,Nonessential,NA
34,34,-82.3396725,29.672946,452990,1355 NW 23RD AVE,GAINESVILLE,FL,32605,NA,NA
63,63,-82.3374225,29.666457,621340,1203 NW 16TH AVE,GAINESVILLE,FL,32601,Essential,(pg. 1)
96,96,-82.339722,29.702979,238220,1325 NW 53RD AVE C,GAINESVILLE,FL,32609,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
97,97,-82.3446,29.637657,621399,1601 SW ARCHER ROAD,GAINESVILLE,FL,32608,Essential,(pg. 1)
106,106,-82.3239405,29.675718,713990,2512 NE 1ST BLVD 800,GAINESVILLE,FL,32609,Nonessential,NA
123,123,-82.5178635,29.6199,NA,3520 SW 162ND ST,ARCHER,FL,32618,NA,NA
174,174,-82.4899725,29.655432,621111,215 NW 138TH TERRACE 100,NEWBERRY,FL,32669,Essential,(pg. 1)
186,186,-82.4098905,29.752983,561990,10636 NW 61ST TERRACE,ALACHUA,FL,32615,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
190,190,-82.4322915,29.645955,451120,8420 SW 7TH PLACE,GAINESVILLE,FL,32607,Nonessential,NA
193,193,-82.386432,29.676906,621330,2531 NW 41ST ST C,GAINESVILLE,FL,32606,Essential,(pg. 1)
194,194,-82.6099423994134,29.8331957301006,813110,120 NW 13TH ST,HIGH SPRINGS,FL,32643,Essential*,For essential support (pg. 14)
207,207,-82.3914315,29.673855,561499,4509 NW 23RD AVE,GAINESVILLE,FL,32606,Essential*,Anything needed to support continuation of essential services
210,210,-82.3826925,29.619747,722511,3950 SW ARCHER ROAD,GAINESVILLE,FL,32608,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees. (pg. 3)"
217,217,-82.4414535,29.689533,445120,9260 NW 39TH AVE,GAINESVILLE,FL,32606,Essential,(pg. 3)
289,289,-82.3446,29.637657,621111,1601 SW ARCHER ROAD,GAINESVILLE,FL,32608,Essential,(pg. 1)
319,319,-82.1727225,29.49624,511199,13707 SE 171ST LANE,HAWTHORNE,FL,32640,Nonessential,NA
322,322,-82.3462715690521,29.64157310869,611310,100 CENTER DRIVE,GAINESVILLE,FL,32610,Essential*,For purposes of facilitating distance learning or performing other essential functions (pg. 14)
