NHID,x,y,WORKER,POP,PUMA5CE,REP_POP
1,-82.42753808,29.67826607,18,105,00101,140
2,-82.38354287,29.63493442,13,73,00101,120
3,-82.39162961,29.70154065,3,18,00101,38
4,-82.65600585,29.64398721,1,4,00102,11
5,-82.40648895,29.65077984,11,63,00101,120
6,-82.41383907,29.66183876,15,89,00101,120
7,-82.33687988,29.6882754,2,9,00101,14
8,-82.36964966,29.613902,2,8,00101,12
9,-82.59426889,29.82532699,5,27,00102,69
10,-82.36000206,29.60489627,5,26,00101,42
11,-82.4338685,29.66653569,6,32,00102,79
12,-82.39767933,29.64214584,9,49,00101,110
13,-82.39194615,29.70216204,7,42,00101,60
14,-82.36037712,29.60536816,7,42,00101,70
15,-82.41914649,29.62971343,6,34,00102,120
16,-82.60138603,29.83688548,2,7,00102,15
17,-82.34223514,29.63790628,20,118,00101,180
18,-82.33613909,29.63719143,15,85,00101,120
19,-82.37032742,29.61635959,15,89,00101,154
20,-82.39491821,29.61369817,11,63,00102,180
21,-82.4293797,29.685644280000002,12,69,00101,115
22,-82.27205225,29.65072624,1,2,00101,6
