WID,TYPE,x,y,WORKER,SERIAL,NAICS,ESS_CLASS
1,w,-82.279332,29.504529,1,2,453920,Nonessential
2,w,-82.3269015,29.652102,1,5,519190,Nonessential
3,w,-82.3396725,29.672946,5,34,452319,NA
4,w,-82.3374225,29.666457,1,63,621340,Essential
5,w,-82.339722,29.702979,1,96,238220,Essential*
6,w,-82.3446,29.637657,1,97,621399,Essential
7,w,-82.3239405,29.675718,1,106,713990,Nonessential
8,w,-82.5178635,29.6199,10,123,999999,NA
9,w,-82.4899725,29.655432,1,174,621111,Essential
10,w,-82.4098905,29.752983,2,186,561990,Essential*
11,w,-82.4322915,29.645955,1,190,451120,Nonessential
12,w,-82.386432,29.676906,1,193,621330,Essential
13,w,-82.6099423994134,29.8331957301006,1,194,813110,Essential*
14,w,-82.3914315,29.673855,2,207,561499,Essential*
15,w,-82.3826925,29.619747,1,210,722511,Essential*
16,w,-82.4414535,29.689533,1,217,445120,Essential
17,w,-82.3446,29.637657,1,289,621111,Essential
18,w,-82.1727225,29.49624,3,319,511199,Nonessential
19,w,-82.4137425,29.602206,8,344,999999,NA
20,w,-82.330641,29.677428,1,371,541211,Essential
21,w,-82.3390335,29.655999,3,398,722513,Essential*
22,w,-82.342593,29.703789,1,405,532120,Essential*
23,w,-82.38258,29.668626,5,412,999999,NA
24,w,-82.3446,29.637657,1,445,621210,Essential
25,w,-82.438641,29.606742,2,471,621999,Essential
26,w,-82.331703,29.64789,1,501,622110,Essential
27,w,-82.3984515,29.675295,1,536,722511,Essential*
28,w,-82.343952,29.65221,48,553,812111,Nonessential
29,w,-82.4135805,29.67372,1,562,561990,Essential*
30,w,-82.3423005,29.612835,1,589,624190,Essential
31,w,-82.5942735,29.817162,1,606,531312,Essential
32,w,-82.44171,29.602755,1,617,112990,Essential
33,w,-82.4042025,29.877165,1,625,541618,Essential*
34,w,-82.421271,29.655153,7,651,722511,Essential*
35,w,-82.527993,29.893014,1,652,999999,NA
36,w,-82.308033,29.670174,1,680,812990,Nonessential
37,w,-82.3982625,29.668266,1,692,621111,Essential
38,w,-82.433493,29.612214,1,693,621111,Essential
39,w,-82.4146605,29.661363,1,707,621210,Essential
40,w,-82.34271,29.639799,2,727,621111,Essential
41,w,-82.3880835,29.675628,1,729,722511,Essential*
42,w,-82.4389425,29.607264,1,733,445110,Essential
43,w,-82.3906750754704,29.6577741722321,2,753,524113,Essential
44,w,-82.612602,29.646477,1,789,921120,Essential
45,w,-82.279314,29.798316,14,798,561990,Essential*
46,w,-82.60155,29.639952,1,848,999999,NA
47,w,-82.3548915,29.719962,24,908,423730,Essential
48,w,-82.390392,29.701962,13,949,541618,Essential*
49,w,-82.430892,29.686104,12,1040,541618,Essential*
50,w,-82.600461,29.678634,2,1047,811412,Essential
51,w,-82.429524,29.673099,9,1060,813110,Essential*
52,w,-82.2735832322621,29.6769697293115,1,1061,236115,Essential
53,w,-82.330475293393,29.6565984735943,1,1068,621330,Essential
54,w,-82.3826025,29.615193,4,1112,721110,Essential
55,w,-82.327014,29.651904,16,1113,722511,Essential*
56,w,-82.5943648134895,29.8259228624729,1,1116,453910,Essential
57,w,-82.34271,29.639799,2,1123,621111,Essential
58,w,-82.3454505,29.71629,1,1143,334220,Essential
59,w,-82.2834599999999,29.50564,1,1157,621111,Essential
60,w,-82.169892,29.81493,1,1191,445110,Essential
61,w,-82.3012605,29.673666,2,1194,442210,Nonessential
62,w,-82.4110300812877,29.6594880656524,1,1205,999999,NA
63,w,-82.5623505,29.605176,1,1239,237210,Nonessential
64,w,-82.501893,29.696562,2,1244,314999,Nonessential
65,w,-82.365462,29.61576,4,1274,561990,Essential*
66,w,-82.38717,29.666772,4,1287,561990,Essential*
67,w,-82.43748,29.665548,4,1300,444220,Essential*
68,w,-82.3943925,29.689776,2,1304,999999,NA
69,w,-82.334484,29.658843,1,1314,621399,Essential
70,w,-82.4014305,29.53485,1,1341,111332,Essential
71,w,-82.33146,29.702763,7,1346,446199,Essential
72,w,-82.4471505,29.623662,3,1359,541618,Essential*
73,w,-82.602081,29.650725,1,1363,337110,Nonessential
74,w,-82.3480515,29.715642,3,1368,236118,Essential*
75,w,-82.3288635,29.652138,2,1432,624110,Essential
76,w,-82.3979025,29.726406,1,1444,611610,Essential*
77,w,-82.34271,29.639799,2,1452,621111,Essential
78,w,-82.303173,29.659086,1,1464,921190,Essential
79,w,-82.3288635,29.652138,1,1471,541110,Essential
80,w,-82.3257,29.651787,1,1478,722513,Essential*
81,w,-82.3268925,29.687994,1,1479,999999,NA
82,w,-82.34271,29.639799,2,1491,621399,Essential
83,w,-82.339722,29.702979,2,1506,531312,Essential
84,w,-82.395693,29.695797,1,1530,812990,Nonessential
85,w,-82.3114215,29.653056,17,1532,561720,Essential
86,w,-82.488672,29.584926,11,1582,442210,Nonessential
87,w,-82.3986315,29.641644,3,1588,561730,Essential*
88,w,-82.332162,29.637324,1,1604,531110,Essential
89,w,-82.4135805,29.676816,5,1654,561499,Essential*
90,w,-82.3307535,29.668455,9,1665,523930,Essential
91,w,-82.3695525,29.70027,1,1679,812112,Nonessential
92,w,-82.1693925,29.79621,1,1684,813410,Nonessential
93,w,-82.4797305,29.65644,1,1705,999999,NA
94,w,-82.326024,29.653488,2,1723,541110,Essential
95,w,-82.3408515,29.616858,1,1728,722511,Essential*
96,w,-82.3934025,29.650842,1,1742,813410,Nonessential
97,w,-82.34271,29.639799,1,1785,621111,Essential
98,w,-82.33857,29.690955,1,1790,999999,NA
99,w,-82.408464,29.693043,1,1800,713940,Nonessential
100,w,-82.38645,29.677887,2,1801,624190,Essential
101,w,-82.3861215,29.679057,3,1817,624190,Essential
102,w,-82.4677425,29.65572,1,1844,722410,Essential*
103,w,-82.4929425,29.653506,1,1858,524210,Essential
104,w,-82.3269915,29.650392,1,1963,711510,Nonessential
105,w,-82.4240925,29.658915,1,1979,541940,Essential
106,w,-82.3393787956986,29.6509685185729,3,2005,813910,Essential*
107,w,-82.3720815,29.603565,2,2026,722511,Essential*
108,w,-82.529163,29.606382,1,2081,512110,Nonessential
109,w,-82.4106759285982,29.659755435192,1,2082,621111,Essential
110,w,-82.3967235,29.718999,6,2089,999999,NA
111,w,-82.3617405,29.675088,1,2095,621111,Essential
112,w,-82.444311,29.603043,1,2110,531210,Essential
113,w,-82.433754,29.690802,1,2112,621111,Essential
114,w,-82.3473225,29.715102,5,2138,531210,Essential
115,w,-82.389294,29.705337,6,2139,531210,Essential
116,w,-82.366911,29.697696,1,2172,238320,Essential*
117,w,-82.3470048999999,29.6447109000001,1,2190,611699,Essential*
118,w,-82.331703,29.64789,1,2210,621111,Essential
119,w,-82.3906174333156,29.6151080760575,1,2235,561499,Essential*
120,w,-82.4487435,29.631177,1,2304,561990,Essential*
121,w,-82.3019535,29.668329,1,2305,561990,Essential*
122,w,-82.3609935,29.716758,1,2344,813110,Essential*
123,w,-82.464912,29.652507,1,2360,999999,NA
124,w,-82.4980725,29.79639,1,2387,453110,Nonessential
125,w,-82.29483,29.667456,2,2393,921120,Essential
126,w,-82.3541625,29.686752,1,2397,531320,Essential
127,w,-82.4111235,29.66337,3,2405,999999,NA
128,w,-82.3451535,29.639277,1,2408,621210,Essential
129,w,-82.3890825,29.68497,1,2410,621111,Essential
130,w,-82.621593,29.775447,1,2420,238330,Essential*
131,w,-82.3451535,29.639277,1,2427,621210,Essential
132,w,-82.372491,29.604609,24,2429,722515,Essential*
133,w,-82.3446,29.637657,4,2432,561499,Essential*
134,w,-82.323801,29.654307,19,2433,813990,Essential*
135,w,-82.4390415,29.606715,1,2439,541110,Essential
136,w,-82.43055,29.612736,1,2469,621111,Essential
137,w,-82.38951,29.656125,3,2488,531110,Essential
138,w,-82.438542,29.608902,2,2489,524210,Essential
139,w,-82.403154,29.661588,2,2490,621111,Essential
140,w,-82.6075935,29.732049,1,2507,238160,Essential*
141,w,-82.389834,29.694942,10,2526,561990,Essential*
142,w,-82.46817,29.820402,3,2528,453998,Nonessential
143,w,-82.4872905,29.786283,5,2534,484121,Essential
144,w,-82.322631,29.690253,55,2616,999999,NA
145,w,-82.403334,29.69271,1,2620,442210,Nonessential
146,w,-82.5553035,29.808945,1,2631,813110,Essential*
147,w,-82.391472,29.664675,1,2640,999999,NA
148,w,-82.4237325,29.651769,1,2643,238330,Essential*
149,w,-82.530711,29.753289,1,2678,999999,NA
150,w,-82.4490225,29.68551,1,2695,999999,NA
151,w,-82.421982,29.653695,1,2709,339116,Essential
152,w,-82.4292,29.613402,1,2778,561499,Essential*
153,w,-82.405161,29.663406,26,2780,561990,Essential*
154,w,-82.358523,29.720079,1,2784,238210,Essential*
155,w,-82.4937525,29.791143,1,2797,541110,Essential
156,w,-82.3736115,29.698785,1,2817,561790,Essential*
157,w,-82.371663,29.652372,4,2903,531210,Essential
158,w,-82.3504635,29.705166,1,2950,531110,Essential
159,w,-82.34271,29.639799,1,2957,621111,Essential
160,w,-82.286082,29.812536,1,2968,561990,Essential*
161,w,-82.613844,29.78505,3,2971,561990,Essential*
162,w,-82.3927815,29.667438,3,2979,561990,Essential*
163,w,-82.304793,29.66796,2,3010,541921,Nonessential
164,w,-82.28129928475,29.6953533445772,1,3106,481111,Essential
165,w,-82.2896325,29.641464,18,3130,922190,Essential*
166,w,-82.3961835,29.678454,4,3187,624190,Essential
167,w,-82.390203,29.675709,10,3198,722511,Essential*
168,w,-82.51065,29.780964,1,3221,813110,Essential*
169,w,-82.573452,29.86875,4,3233,423940,Nonessential
170,w,-82.3322115,29.674062,1,3261,238340,Essential*
171,w,-82.325484,29.689083,1,3264,531110,Essential
172,w,-82.1678715,29.781909,1,3269,423110,Nonessential
173,w,-82.416303,29.652588,19,3402,541511,Essential
174,w,-82.475712,29.66148,1,3404,453220,Nonessential
175,w,-82.5322725,29.696454,1,3437,314999,Nonessential
176,w,-82.455894,29.781702,1,3441,522298,Essential
177,w,-82.3404735,29.660958,1,3498,454390,Nonessential
178,w,-82.332612,29.650428,1,3504,813910,Essential*
179,w,-82.3391157043014,29.6605239950623,1,3506,448190,Essential*
180,w,-82.3838535,29.652039,1,3521,221310,Essential
181,w,-82.494432,29.791818,9,3528,711510,Nonessential
182,w,-82.4551335,29.779605,7,3539,611519,Essential*
