X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,TOT_RES,TOT_STAFF,BEDS,EXCESS_BED,OWNERSHIP,MEDICAIDID,MEDICAREID,STATE_LIC,SOURCETYPE
-87.25261815,30.47145543,9595,12419,CONSULATE HEALTH CARE OF PENSACOLA,235 WEST AIRPORT BLVD,PENSACOLA,FL,32505,NOT AVAILABLE,(850) 857-5200,NURSING HOME,OPEN,120,ESCAMBIA,12033,USA,30.47145543,-87.25261815,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,www.consulatehc.com,-999,-999,120,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,130470965,NURSING HOME
-87.21726744,30.54097931,10495,121498,UNIVERSITY HILLS HEALTH AND REHABILITATION,10040 HILLVIEW ROAD,PENSACOLA,FL,32514,NOT AVAILABLE,(850) 474-0570,NURSING HOME,OPEN,120,ESCAMBIA,12033,USA,30.54097931,-87.21726744,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,www.universityhillshealth.com,-999,-999,120,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,1111096,NURSING HOME
-87.16719858,30.50621452,1525,121575,WESTPOINTE RETIREMENT COMMUNITY,5101 NORTHPOINTE PKWY,PENSACOLA,FL,32514,7846,(850) 484-8383,ASSISTED CARE,OPEN,100,ESCAMBIA,12033,USA,30.50621452,-87.16719858,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,100,-999,FOR-PROFIT,NOT AVAILABLE,NOT AVAILABLE,11964279,ASSISTED LIVING FACILITY
-87.23892499,30.43066659,1615,121207,REHABILITATION CENTER AT PARK PLACE,1717 W AVERY ST,PENSACOLA,FL,32501,NOT AVAILABLE,(850) 434-2355,NURSING HOME,OPEN,118,ESCAMBIA,12033,USA,30.43066659,-87.23892499,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,118,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,1434096,NURSING HOME
-87.21217285,30.52021906,2327,12220,BROADVIEW ASSISTED LIVING FACILITY,2310 ABBIE LANE,PENSACOLA,FL,32514,NOT AVAILABLE,(850) 505-0111,ASSISTED CARE,OPEN,72,ESCAMBIA,12033,USA,30.52021906,-87.21217285,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,72,-999,FOR-PROFIT,NOT AVAILABLE,NOT AVAILABLE,11965185,ASSISTED LIVING FACILITY
-87.20734299,30.53948638,2610,121586,WILLOWBROOKE COURT AT AZALEA TRACE,10100 HILLVIEW DR,PENSACOLA,FL,32514,NOT AVAILABLE,(850) 478-5200,NURSING HOME,OPEN,82,ESCAMBIA,12033,USA,30.53948638,-87.20734299,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,www.actsretirement.org,-999,-999,82,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,1029096,NURSING HOME
-87.17562682,30.46407413,5878,123796,SUMMER VISTA ASSISTED LIVING COMMUNITY,3450 WIMBLEDON DR,PENSACOLA,FL,32504,NOT AVAILABLE,(850) 434-3232,ASSISTED CARE,OPEN,100,ESCAMBIA,12033,USA,30.46407413,-87.17562682,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2018-11-19T00:00:00Z,NOT AVAILABLE,-999,-999,100,-999,CHP II SUMMER VISTA FL TENANT LLC,NOT AVAILABLE,NOT AVAILABLE,12793,ASSISTED LIVING FACILITY
-87.31006923,30.51425803,6471,12778,HOMESTEAD VILLAGE RETIREMENT COMMUNITY,7830 PINE FOREST ROAD,PENSACOLA,FL,32526,NOT AVAILABLE,(850) 941-5000,ASSISTED CARE,OPEN,180,ESCAMBIA,12033,USA,30.51425803,-87.31006924,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,180,-999,NOT-FOR-PROFIT,NOT AVAILABLE,NOT AVAILABLE,11911669,ASSISTED LIVING FACILITY
-87.21424139,30.41666829,8424,121550,WESLEY HAVEN VILLA INC.,111 EAST WRIGHT STREET,PENSACOLA,FL,32501,NOT AVAILABLE,(850) 434-1035,ASSISTED CARE,OPEN,65,ESCAMBIA,12033,USA,30.41666829,-87.21424139,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,65,-999,NOT-FOR-PROFIT,NOT AVAILABLE,NOT AVAILABLE,11966489,ASSISTED LIVING FACILITY
-87.16833171,30.48182776,8508,12157,BAYSIDE HEALTH AND REHABILITATION CENTER,4343 LANGLEY AVENUE,PENSACOLA,FL,32504,NOT AVAILABLE,(850) 477-4550,NURSING HOME,OPEN,120,ESCAMBIA,12033,USA,30.48182776,-87.16833171,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,120,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,1053096,NURSING HOME
