PARCELID,FEDERAL_ID,STATE_ID,NAME,Population,ADDRESS,CITY,ZIPCODE,COUNTY,PHONE,TYPE,OWNER,OPERATING,OP_CLASS,YR_BUILT,FSOURCE,DATASOURCE,PROGRAMS,GRADES,LOW_GRADE,HIGH_GRADE,PRINCIPAL,ENROLLMENT,TEACHERS,STDTCH_RT,MIGRNT_STD,TITLE1SCHO,MAGNETINFO,COMMENTS,FREE_LUNCH,REDUCED_LU,FISH_FAC1,FISH_FAC2,BBSERVICE,BBPROVIDER,BBSPEED,DSTREAMSPD,FDOE_MSID,NCES_PUB,NCES_PRIV,FDOE_PRV,LAT_DD,LONG_DD,MGRS,GCID,ACRES,DESCRIPT,FLAG,UPDATE_DAY,FGDLAQDATE,AUTOID,AGELO,AGEHI,n
013S311000000000,NA,NA,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY - NAVAL AIR STATION PENSACOLA,113,250 CHAMBERS AVE,PENSACOLA,32508,ESCAMBIA,850-455-4529,COLLEGE/UNIVERSITY,UNITED STATES GOVERNMENT,PRIVATE,PRIVATE,1955,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,30.34929555,-87.2747798,16RDU7359157523,7434,9.63884772,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY - NAVAL AIR STATION PENSACOLA,V,7/29/2016,9/15/2017,7256,19,35,2
141S306100004002,133942,NA,FLORIDA INSTITUTE OF ULTRASOUND INC,80,8800 UNIVERSITY PKY STE A4,PENSACOLA,32514,ESCAMBIA,NA,COLLEGE/UNIVERSITY,CRITTENDEN J JAY & LETA D,PRIVATE,PRIVATE,1985,GEOPLAN,NCES 2014-2015 COLLEGE,NA,COLLEGE,COLLEGE,COLLEGE,NA,52,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,30.52456639,-87.22089433,16RDU7880876935,6656,1.80169161,FLORIDA INSTITUTE OF ULTRASOUND INC,V,3/29/2016,9/15/2017,6820,19,35,1
061S291001017001,455479,NA,FORTIS INSTITUTE-PENSACOLA,564,4081 E OLIVE RD STE B,PENSACOLA,32514,ESCAMBIA,850-476-7607,COLLEGE/UNIVERSITY,MBR OF NORTHWEST FLORIDA LLC,PRIVATE,PRIVATE,1986,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,639,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,U,NA,NA,0,NA,NA,NA,NA,30.51028313,-87.18335105,16RDU8240775345,5423,1.06922995,FORTIS INSTITUTE-PENSACOLA,V,5/14/2012,9/15/2017,5334,19,35,1
101S291101002001,481614,NA,ITT TECHNICAL INSTITUTE-PENSACOLA,NA,6913 NORTH 9TH AVENUE,PENSACOLA,32504,ESCAMBIA,NA,COLLEGE/UNIVERSITY,VALIDUS GROUP PARTNERS LTD,PRIVATE,PRIVATE,1961,GEOPLAN,NCES 2014-2015 COLLEGE,NA,COLLEGE,COLLEGE,COLLEGE,NA,229,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,30.49617042,-87.19066488,16RDU8170373783,6680,2.7274124,ITT TECHNICAL INSTITUTE-PENSACOLA,V,3/29/2016,9/15/2017,6844,19,35,1
351S304105000000,NA,NA,PENSACOLA CHRISTIAN COLLEGE,4882,250 BRENT LN,PENSACOLA,32503,ESCAMBIA,NA,COLLEGE/UNIVERSITY,PENSACOLA CHRISTIAN COLLEGE IN,PRIVATE,PRIVATE,1975,GEOPLAN,ESCAMBIA COUNTY,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,U,NA,NA,0,NA,5/16/2012,NA,NA,30.47341217,-87.23498037,16RDU7744571269,394,218.0128242,PENSACOLA CHRISTIAN COLLEGE,V,6/30/2004,9/15/2017,312,19,35,1
101S293101012004,449533,NA,PENSACOLA SCHOOL OF MASSAGE THERAPY & HEALTH CAREERS,81,2409 CREIGHTON RD,PENSACOLA,32504,ESCAMBIA,850-474-1330,COLLEGE/UNIVERSITY,DELTA PROPERTIES BATON ROUGE I,PRIVATE,PRIVATE,1955,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,130,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,U,NA,NA,0,NA,NA,NA,NA,30.49478866,-87.1955698,16RDU8123273630,5425,1.90503398,PENSACOLA SCHOOL OF MASSAGE THERAPY & HEALTH CAREERS,V,5/14/2012,9/15/2017,5336,19,35,1
000S009080010011,NA,NA,PENSACOLA STATE COLLEGE - DOWNTOWN CAMPUS,76,418 W GARDEN ST,PENSACOLA,32502,ESCAMBIA,850-484-1374,COLLEGE/UNIVERSITY,PENSACOLA STATE COLLEGE,STATE,PUBLIC,1955,GEOPLAN,FDOE COLLEGE 2012,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,(FORMERLY PENSACOLA JUNIOR COLLEGE),0,0,0,0,U,NA,NA,0,NA,5/16/2012,NA,NA,30.41237571,-87.22151941,16RDU7872464502,2050,4.19068249,PENSACOLA STATE COLLEGE - DOWNTOWN CAMPUS,V,5/14/2012,9/15/2017,1913,19,35,4
013S311000000000,NA,NA,PENSACOLA STATE COLLEGE - NAVAL AIR STATION PENSACOLA,174,250 CHAMBERS AVE SUITE 23,PENSACOLA,32508,ESCAMBIA,850-453-7526,COLLEGE/UNIVERSITY,UNITED STATES OF AMERICA,FEDERAL,PUBLIC,1955,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,U,NA,NA,0,NA,5/16/2012,NA,NA,30.3493008,-87.2749281,16RDU7357757524,5422,9.63884772,PENSACOLA STATE COLLEGE - NAVAL AIR STATION PENSACOLA,V,5/14/2012,9/15/2017,5333,19,35,8
331S305101000001,136473,NA,PENSACOLA STATE COLLEGE - PENSACOLA CAMPUS,2372,1000 COLLEGE BOULEVARD,PENSACOLA,32504,ESCAMBIA,850-484-1000,COLLEGE/UNIVERSITY,PENSACOLA STATE COLLEGE,STATE,PUBLIC,1992,GEOPLAN,FDOE COLLEGE 2012,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,(FORMERLY PENSACOLA JUNIOR COLLEGE),0,0,0,0,U,NA,NA,0,NA,5/16/2012,NA,NA,30.47963194,-87.19942052,16RDU8085971951,2496,131.293331,PENSACOLA STATE COLLEGE - PENSACOLA CAMPUS,V,5/14/2012,9/15/2017,2361,19,35,4
532S301000000001,NA,NA,PENSACOLA STATE COLLEGE - WARRINGTON CAMPUS,2744,5555 W HIGHWAY 98,PENSACOLA,32507,ESCAMBIA,850-484-2200,COLLEGE/UNIVERSITY,PENSACOLA STATE COLLEGE,STATE,PUBLIC,1976,GEOPLAN,ESCAMBIA COUNTY,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,(FORMERLY PENSACOLA JUNIOR COLLEGE WEST CAMPUS),0,0,0,0,U,NA,NA,0,NA,5/16/2012,NA,NA,30.39672745,-87.28662474,16RDU7246662782,2028,151.8680366,PENSACOLA STATE COLLEGE - WARRINGTON CAMPUS,V,5/14/2012,9/15/2017,2176,19,35,4
