NAICS 1 Code,NAICS 1 Description,1 - 4 employees,5 - 9 employees,10 - 19 employees,20 - 49 employees,50 - 99 employees,100 - 249 employees,250 - 499 employees,500 - 999 employees,"1,000+ employees",s,xi
111110,Soybean Farming,4580,4580,4580,4580,4580,4580,4580,4580,4580,0.610588471757,0.5119172800725201
111120,Oilseed (except Soybean) Farming,188,188,188,188,188,188,188,188,188,0.31624423303073795,0.9566525079397251
111130,Dry Pea and Bean Farming,3518,3518,3518,3518,3518,3518,3518,3518,3518,0.20890417945941145,0.7051643873729918
111140,Wheat Farming,6953,6953,6953,6953,6953,6953,6953,6953,6953,0.6598634036021878,0.5049946442024461
111150,Corn Farming,27229,27229,27229,27229,27229,27229,27229,27229,27229,0.4816503468055089,0.491856462635505
111160,Rice Farming,785,785,785,785,785,785,785,785,785,1.7136755983694445,0.5045835698518197
111199,All Other Grain Farming,15311,15311,15311,15311,15311,15311,15311,15311,15311,0.21438254668562354,0.5713919525257065
111211,Potato Farming,374,374,374,374,374,374,374,374,374,3.404168804282692,0.6883104679057839
111219,Other Vegetable (except Potato) and Melon Farming,2985,2985,2985,2985,2985,2985,2985,2985,2985,1.3997933015227322,1.124959501624108
111310,Orange Groves,192,192,192,192,192,192,192,192,192,0.6392506792035413,1.1235107261338275
111320,Citrus (except Orange) Groves,471,471,471,471,471,471,471,471,471,1.9019205499964305,0.976622303173645
111331,Apple Orchards,1162,1162,1162,1162,1162,1162,1162,1162,1162,2.1686093344760566,0.9577856305113557
111332,Grape Vineyards,1982,1982,1982,1982,1982,1982,1982,1982,1982,1.1297201822977514,0.9556319261901078
111333,Strawberry Farming,178,178,178,178,178,178,178,178,178,2.441518107293329,1.3861638381425612
111334,Berry (except Strawberry) Farming,824,824,824,824,824,824,824,824,824,1.1043308799155056,0.9885728271678091
111335,Tree Nut Farming,1178,1178,1178,1178,1178,1178,1178,1178,1178,1.345499196648598,0.8035551063716408
111336,Fruit and Tree Nut Combination Farming,207,207,207,207,207,207,207,207,207,0.89614890548181525,0.4931858168934738
111339,Other Noncitrus Fruit Farming,2862,2862,2862,2862,2862,2862,2862,2862,2862,0.563593988283537,1.1207574782194574
111411,Mushroom Production,219,219,219,219,219,219,219,219,219,1.3660174564574863,1.8509903837344615
111419,Other Food Crops Grown Under Cover,484,484,484,484,484,484,484,484,484,1.470209011953557,0.9582213586836592
111421,Nursery and Tree Production,4316,4316,4316,4316,4316,4316,4316,4316,4316,1.617507037054748,0.981728895846754
111422,Floriculture Production,3491,3491,3491,3491,3491,3491,3491,3491,3491,2.405290975462413,0.8166491377458448
111910,Tobacco Farming,1756,1756,1756,1756,1756,1756,1756,1756,1756,0.9093927941514153,0.5524264467816012
111920,Cotton Farming,2747,2747,2747,2747,2747,2747,2747,2747,2747,1.2803551160484636,0.5744030258148083
111930,Sugarcane Farming,79,79,79,79,79,79,79,79,79,5.003052566704697,0.5545153766753459
111940,Hay Farming,2609,2609,2609,2609,2609,2609,2609,2609,2609,0.5100788915968231,0.5993112523552556
111991,Sugar Beet Farming,418,418,418,418,418,418,418,418,418,1.3252306938287812,0.4175271778600286
111992,Peanut Farming,321,321,321,321,321,321,321,321,321,1.1965390985831625,0.5028176991268984
111998,All Other Miscellaneous Crop Farming,121397,121397,121397,121397,121397,121397,121397,121397,121397,0.24138094477305488,0.7476871303133011
112111,Beef Cattle Ranching and Farming,15669,15669,15669,15669,15669,15669,15669,15669,15669,0.6966158830523848,0.5348352301314598
112112,Cattle Feedlots,9714,9714,9714,9714,9714,9714,9714,9714,9714,0.2042661932908203,0.9593390534156414
112120,Dairy Cattle and Milk Production,16754,16754,16754,16754,16754,16754,16754,16754,16754,1.1959022725815887,0.6877167953527527
112210,Hog and Pig Farming,3800,3800,3800,3800,3800,3800,3800,3800,3800,0.5388393286470091,0.9190052855643442
112310,Chicken Egg Production,336,336,336,336,336,336,336,336,336,2.2787282380401876,1.4962916270648758
112320,Broilers and Other Meat Type Chicken Production,870,870,870,870,870,870,870,870,870,3.0676649160144365e-8,1.4280770849315674
112330,Turkey Production,481,481,481,481,481,481,481,481,481,0.7063003618037329,1.2420674089167734
112340,Poultry Hatcheries,496,496,496,496,496,496,496,496,496,0.2763923816983605,1.8240896975855754
112390,Other Poultry Production,911,911,911,911,911,911,911,911,911,0.13132142222464555,1.018994742863493
112410,Sheep Farming,789,789,789,789,789,789,789,789,789,0.6596859404361128,0.5524049226647911
112420,Goat Farming,455,455,455,455,455,455,455,455,455,0.4938341874398634,0.4938936977948738
112511,Finfish Farming and Fish Hatcheries,998,998,998,998,998,998,998,998,998,1.4202587060630325,0.7538961762562391
112512,Shellfish Farming,67,67,67,67,67,67,67,67,67,1.3544638536870468,1.0071403272449975
112519,Other Aquaculture,225,225,225,225,225,225,225,225,225,1.748702381923796,0.6437500897794959
112910,Apiculture,1316,1316,1316,1316,1316,1316,1316,1316,1316,0.6578668605933058,0.6130103385263095
112920,Horses and Other Equine Production,3344,3344,3344,3344,3344,3344,3344,3344,3344,0.7259775150683712,0.7296898885251719
112930,Fur-Bearing Animal and Rabbit Production,327,327,327,327,327,327,327,327,327,1.0398207402526172,0.5999692467856217
