HID1,HID2
84850,707
84850,807
84850,84733
116332,116507
116332,116529
116332,116672
116332,116736
147311,147240
55908,55845
112337,113131
112337,113207
50726,50529
50726,50592
140405,140377
140405,142207
91189,91210
131493,131067
136914,137049
833,97
15757,8418
103809,103944
41998,42269
41998,42078
42023,52181
42023,51534
42023,42162
42023,42265
62035,62598
62035,62326
62035,62347
105567,105839
105567,106917
105567,105879
28983,29067
28983,28244
28983,28393
87796,88103
30316,30529
30316,31013
30316,30001
30316,30378
30316,30721
113583,113247
113583,113277
113583,114137
113583,113265
101141,100762
101141,108934
137391,137612
137391,137321
137391,137279
98803,97660
58442,58502
58442,58048
58442,49476
40078,40425
128868,129195
128868,128717
69400,68895
43570,139922
43570,43521
43570,139798
43570,38157
43570,43524
43570,130463
116748,116823
116748,117120
53971,65490
53971,54624
53971,53877
57787,56571
57787,55871
35841,37567
71035,70321
71035,71087
71035,71194
10890,10785
10890,11034
10890,11373
93934,93777
93934,93944
93934,93732
40161,39694
40161,42909
40161,39472
40161,40441
40161,40455
131503,131244
152059,152244
77118,75858
77118,77450
50599,50860
50599,50616
80576,63401
80576,77877
80576,80668
80576,80692
80576,80574
80576,93331
80576,80688
80576,80689
80576,80694
123781,123818
123781,123733
113657,113943
113657,113689
113657,113661
5193,45646
5193,6276
35139,42791
35139,35164
35139,34597
35139,43044
130362,130110
1279,4701
113269,113784
116367,117193
116367,116995
116367,116477
85526,85618
85526,84890
13524,11482
95316,106164
18018,17332
6673,9645
6673,7093
6673,3814
6673,379
75610,76547
108492,108559
108492,108085
108492,108137
108492,108109
108492,107544
108492,107711
108492,107709
49205,48630
92404,93057
92404,100478
92404,100302
92404,93107
49649,49808
49649,49220
49649,49127
49649,49724
141247,141245
141247,140268
141247,140522
82845,87645
82845,83021
82845,82275
82845,87577
82845,82140
82845,83190
73335,73819
64334,66296
64334,64567
64334,66243
64334,64896
64334,64862
64334,64651
64334,65081
23719,23517
145969,146114
145969,145748
145969,146042
145969,147160
145969,147141
145969,146504
145969,145818
145969,146285
31772,31336
102120,102304
133663,134264
133663,133772
133663,133723
56371,56187
16121,16003
3267,69468
4298,3587
101863,101418
29463,29580
108160,107941
102339,102225
102339,101674
102339,101959
102339,102117
67488,67607
74428,74464
92747,91665
92747,91927
78064,78072
39240,39780
131552,131539
90699,90413
90699,154283
90699,89646
3735,3569
3735,4138
3735,3435
3735,2623
3735,68788
154001,154106
154001,90234
154001,153979
66837,66799
66837,66491
42695,42728
42695,42389
42695,42423
154103,90678
154103,90349
52673,52149
52673,52958
113321,114091
113321,113438
113321,113879
113321,114247
52685,52954
52685,52587
52685,52994
82382,81705
82382,82250
82382,81775
5533,7504
5533,6326
7955,15605
7955,8689
7955,8346
92912,92160
92912,92923
92912,92725
99490,99201
144787,144447
144787,144660
144787,144539
144787,143091
144787,144556
144787,143304
144787,144454
145681,146828
145681,146134
145681,146004
145681,98943
145681,97729
145681,145799
145681,146761
145681,145776
20868,20891
20868,21155
20868,21353
126861,127009
126861,127234
126861,126740
93690,94772
93690,93682
93690,94680
93690,93779
93690,94750
93690,93701
145242,145218
145242,30350
135185,135113
135185,135929
120215,119960
120215,119901
83791,318
83791,84848
120804,121542
120804,120964
120804,121117
120804,121107
38643,38442
38643,38883
109927,109969
86753,60703
151748,74611
151748,151747
151748,151815
