WID,TYPE,x,y,WORKER,SERIAL,NAICS,ESS_CLASS
1,hf,-87.211274,30.47511,4528,1,999999,
2,hf,-87.23176,30.428708,3936,2,999999,
3,hf,-87.217065,30.515089,4120,3,999999,
4,hf,-87.216352,30.479081,600,4,999999,
5,w,-87.204132,30.5289,16,480494,999999,
6,w,-87.277644,30.380607,1,480516,523930,Essential
7,w,-87.2234693375483,30.4703497888764,1,480518,541990,Essential*
8,w,-87.270561,30.409659,1,480544,541618,Essential*
9,w,-87.2491899999999,30.44456,4,480555,236220,Essential
10,w,-87.207462,30.408714,5,480559,531210,Essential
11,w,-87.4236825,30.298563,1,480576,531210,Essential
12,w,-87.207534,30.47733,2,480583,443142,Essential
13,w,-87.3041535,30.525093,4,480663,561990,Essential*
14,w,-87.18894,30.525633,3,480667,561730,Essential*
15,w,-87.2098697547552,30.4119448031286,6,480689,561499,Essential*
16,w,-87.250554,30.411675,1,480695,999999,
17,w,-87.294114,30.533193,5,480700,524210,Essential
18,w,-87.312730264751,30.4302267608489,14,480702,423930,Nonessential
19,w,-87.187824,30.511422,3,480712,561990,Essential*
20,w,-87.2241299999999,30.42632,1,480715,621111,Essential
21,w,-87.2159766558828,30.4144231264494,4,480718,524210,Essential
22,w,-87.211422,30.409533,2,480720,541110,Essential
23,w,-87.216045,30.4099475,2,480764,561210,Essential
24,w,-87.2241299999999,30.42632,1,480768,621111,Essential
25,w,-87.3025425,30.50829,1,480783,561990,Essential*
26,w,-87.2393625,30.467727,3,480788,441310,Essential
27,w,-87.4267515,30.301965,1,480793,722410,Essential*
28,w,-87.222231,30.482964,1,480798,722511,Essential*
29,w,-87.288021,30.555279,1,480803,561730,Essential*
30,w,-87.2417205,30.456774,1,480808,238310,Essential*
31,w,-87.188832,30.495366,1,480812,621399,Essential
32,w,-87.2255115,30.471696,2,480835,531312,Essential
33,w,-87.2715915,30.562884,2,480839,561720,Essential
34,w,-87.318333,30.45159,1,480861,561790,Essential*
35,w,-87.4098135,30.32343,1,480867,999999,
36,w,-87.257331,30.533355,2,480891,446130,Essential
37,w,-87.1727805,30.517587,1,480898,621210,Essential
38,w,-87.2023815,30.426255,1,480910,624190,Essential
39,w,-87.2993025,30.500244,8,480949,541990,Essential*
40,w,-87.396903,30.39696,1,480964,561990,Essential*
41,w,-87.29739,30.407625,1,480965,541618,Essential*
42,w,-87.2065125,30.4425,1,480972,813410,Nonessential
43,w,-87.1741125,30.488175,3,480984,561990,Essential*
44,w,-87.348483,30.598506,1,480986,561990,Essential*
45,w,-87.3820935,30.670425,1,480993,561790,Essential*
46,w,-87.2798157937898,30.5671030772565,1,481018,561990,Essential*
47,w,-87.284421,30.571929,1,481036,311811,Essential
48,w,-87.2111205,30.49524,2,481056,531210,Essential
49,w,-87.213024,30.408138,12,481058,711110,Nonessential
50,w,-87.2129835,30.403413,6,481077,621399,Essential
51,w,-87.208803,30.42306,8,481101,442110,Nonessential
52,w,-87.2215425,30.527262,1,481104,621111,Essential
53,w,-87.17553,30.469122,1,481106,561990,Essential*
54,w,-87.2130735,30.411144,3,481117,999999,
55,w,-87.2655435,30.462858,3,481135,561622,Essential
56,w,-87.4240663273892,30.3191593810192,2,481136,531210,Essential
