x,y,TYPE,NAICS,ESS_CLASS,WORKER,SERIAL,N,WID2
-87.211274,30.47511,hf,999999,"",4528,1,1,1
-87.23176,30.428708,hf,999999,"",3936,2,1,2
-87.217065,30.515089,hf,999999,"",4120,3,1,3
-87.216352,30.479081,hf,999999,"",600,4,1,4
-87.5990835,30.909096,w,113310,Essential,1,628810,1,5
-87.578091,30.984075,w,999999,"",1,572458,1,6
-87.5759535,30.849498,w,541618,Essential*,1,871613,1,7
-87.575099409188,30.8339895913136,w,813110,Essential*,1,502723,1,8
-87.5739774358805,30.8519534278044,w,813990,Essential*,1,747703,1,9
-87.5719305,30.997278,w,238170,Essential*,1,717977,1,10
-87.5719305,30.997278,w,561499,Essential*,1,753736,1,11
-87.5716425,30.996243,w,237990,Essential,1,555644,1,12
-87.5710035,30.984885,w,113310,Essential,1,500706,1,13
-87.566274,30.893103,w,113110,Essential,1,919388,1,14
-87.553944,30.979503,w,561990,Essential*,1,794128,1,15
-87.549381,30.836718,w,711211,Nonessential,1,764851,1,16
-87.5490515644019,30.9974729777023,w,541990,Essential*,1,922494,1,17
-87.5489805,30.981087,w,112990,Essential,1,846024,1,18
-87.5280735,30.941874,w,442110,Nonessential,1,565055,1,19
-87.5279202014669,30.8865278136788,w,111421,Essential*,1,665444,1,20
-87.5258538489368,30.7928681667499,w,111421,Essential*,1,857427,1,21
-87.525629244755,30.9348855013229,w,238340,Essential*,1,661046,1,22
-87.525629244755,30.9348855013229,w,442210,Nonessential,1,854154,1,23
-87.525629244755,30.9348855013229,w,621999,Essential,1,900087,1,24
-87.5251035,30.782592,w,813110,Essential*,1,506626,1,25
-87.522921,30.82068,w,811310,Essential,1,886575,1,26
-87.5192625,30.996549,w,561990,Essential*,1,493344,1,27
-87.518142,30.280824,w,722410,Essential*,1,858034,1,28
-87.518142,30.280824,w,722511,Essential*,1,540139,1,29
-87.518142,30.280824,w,722511,Essential*,3,559461,1,30
-87.518133,30.282318,w,445310,Essential,1,861610,1,31
-87.5177235,30.280896,w,722410,Essential*,1,812907,1,32
-87.517332,30.282255,w,722511,Essential*,1,577309,1,33
-87.51723979,30.78489229,n,999999,"",3,27,1,34
-87.517044,30.28104,w,236115,Essential,1,817395,1,35
-87.517044,30.28104,w,483212,Essential,1,600577,1,36
-87.517044,30.28104,w,531110,Essential,1,632419,1,37
-87.517044,30.28104,w,531210,Essential,1,754749,1,38
-87.5169068640613,30.281856487836,w,531110,Essential,1,552467,1,39
-87.516864,30.979305,w,561990,Essential*,1,920430,1,40
-87.5164815,30.952665,w,112340,Essential,1,663046,1,41
-87.5164815,30.952665,w,561499,Essential*,1,674777,1,42
-87.5164635,30.281175,w,999999,"",1,916111,1,43
-87.516432,30.282498,w,561499,Essential*,2,958763,1,44
-87.516432,30.282624,w,541620,Essential*,1,664529,1,45
-87.516432,30.282624,w,999999,"",1,608496,1,46
-87.516261,30.88584,w,713940,Nonessential,1,771106,1,47
-87.5161277970599,30.2821768174239,w,722511,Essential*,1,683951,1,48
-87.5161277970599,30.2821768174239,w,999999,"",1,535351,1,49
-87.5155815,30.992535,w,561990,Essential*,1,679600,1,50
-87.515163,30.28158,w,531312,Essential,1,836682,1,51
-87.515163,30.28158,w,813910,Essential*,2,800836,1,52
-87.5151465150412,30.85091551842,w,813110,Essential*,1,664621,1,53
-87.5151465150412,30.85091551842,w,999999,"",1,554835,1,54
-87.515064,30.973617,w,238320,Essential*,1,784183,1,55
-87.5149605,30.282633,w,238220,Essential*,1,711156,1,56
-87.514893,30.890259,w,813110,Essential*,1,645826,1,57
-87.5146905,30.282795,w,445220,Essential,1,657936,1,58
-87.514533,30.855789,w,561990,Essential*,1,735750,1,59
-87.514074,30.925818,w,238990,Essential*,1,561914,1,60
-87.5140199777704,30.8958682875532,w,813410,Nonessential,1,492670,1,61
-87.51393,30.868704,w,111920,Essential,1,618786,1,62
-87.5133567977437,30.9774405752054,w,115111,Essential,1,578344,1,63
-87.513354,30.28347,w,238110,Essential*,1,941728,1,64
-87.513354,30.28347,w,811310,Essential,1,853495,1,65
-87.513192,30.841884,w,111920,Essential,1,547286,1,66
-87.513183,30.953853,w,561990,Essential*,1,558406,1,67
-87.513102,30.992076,w,453998,Nonessential,1,747207,1,68
-87.5127199999999,30.89097,w,541870,Essential*,1,713633,1,69
-87.5127199999999,30.89097,w,813110,Essential*,1,816915,1,70
-87.5127199999999,30.89097,w,999999,"",1,583200,1,71
-87.5127199999999,30.89097,w,999999,"",1,818032,1,72
-87.5127199999999,30.89097,w,999999,"",1,904733,1,73
-87.512184,30.282084,w,423810,Essential,2,603493,1,74
-87.512184,30.282084,w,813910,Essential*,1,885670,1,75
-87.5120143950223,30.8854334643964,w,812310,Essential,1,744154,1,76
-87.51168,30.944907,w,111150,Essential,1,819183,1,77
-87.51168,30.944907,w,999999,"",1,678773,1,78
-87.5113515,30.283443,w,445120,Essential,1,746509,1,79
-87.5113515,30.283443,w,445120,Essential,1,956432,1,80
-87.5113515,30.283443,w,541618,Essential*,4,615633,1,81
-87.5113515,30.283443,w,722511,Essential*,1,814476,1,82
-87.5108025,30.282327,w,813910,Essential*,2,611782,1,83
-87.5107125,30.890916,w,444190,Essential,1,911910,1,84
-87.5106135,30.968964,w,561730,Essential*,1,571754,1,85
-87.510384,30.891276,w,813110,Essential*,1,705083,1,86
-87.5100015,30.28248,w,813410,Nonessential,16,651603,1,87
-87.5090835,30.883284,w,561730,Essential*,1,622536,1,88
-87.5090835,30.889512,w,561990,Essential*,1,685468,1,89
-87.509043,30.948552,w,561499,Essential*,1,682262,1,90
-87.508881,30.888108,w,238130,Essential*,1,745781,1,91
-87.5085416796424,30.7733945401142,w,423510,Essential,1,938083,1,92
-87.5084625,30.894399,w,813110,Essential*,1,929317,1,93
-87.508431,30.283146,w,531110,Essential,2,925451,1,94
-87.508431,30.285,w,531110,Essential,1,638688,1,95
-87.508431,30.285,w,531210,Essential,2,632319,1,96
-87.50817,30.95379,w,115210,Essential,1,596257,1,97
-87.507693,30.891573,w,238110,Essential*,1,534015,1,98
-87.506964,30.284127,w,531110,Essential,7,683106,1,99
-87.5061,30.96567,w,561990,Essential*,1,706013,1,100
-87.505992,30.284397,w,445120,Essential,1,913080,1,101
-87.5059605,30.285864,w,237210,Nonessential,2,556788,1,102
-87.50574,30.283326,w,531311,Essential,3,587812,1,103
-87.5049615,30.970944,w,115116,Essential,1,618371,1,104
-87.5045115,30.915333,w,999999,"",1,663754,1,105
-87.504372,30.284532,w,541512,Essential,1,671273,1,106
-87.504372,30.284532,w,813910,Essential*,6,590182,1,107
-87.504372,30.284532,w,813990,Essential*,14,873637,1,108
-87.5032769084008,30.9430747161468,w,813110,Essential*,1,575063,1,109
-87.5027835,30.864609,w,561730,Essential*,1,920866,1,110
-87.502383,30.285189,w,448120,Nonessential,1,670534,1,111
-87.502383,30.285189,w,561622,Essential,1,620396,1,112
-87.5022705,30.885138,w,999999,"",1,707109,1,113
-87.5017215,30.28572,w,561499,Essential*,1,599129,1,114
-87.5017215,30.28572,w,813990,Essential*,1,908651,1,115
-87.5014515,30.284145,w,522320,Essential,2,867111,1,116
-87.50079,30.285828,w,561990,Essential*,3,934837,1,117
-87.499062,30.284478,w,531110,Essential,1,696455,1,118
-87.498252,30.284577,w,722511,Essential*,3,512725,1,119
-87.4974105,30.285864,w,531110,Essential,1,774540,1,120
-87.4974105,30.285864,w,811212,Essential,2,857403,1,121
-87.4974105,30.285864,w,813990,Essential*,14,893307,1,122
-87.4971225,30.886299,w,813110,Essential*,1,490085,1,123
-87.49656,30.986892,w,115111,Essential,1,624518,1,124
-87.49656,30.986892,w,999999,"",1,840131,1,125
-87.496443,30.284964,w,531110,Essential,1,943717,1,126
-87.496443,30.284964,w,813990,Essential*,5,654212,1,127
-87.4952325,30.889035,w,112990,Essential,1,550151,1,128
-87.494751,30.285288,w,531110,Essential,1,827492,1,129
-87.494751,30.285288,w,621111,Essential,1,918926,1,130
-87.494751,30.919689,w,424910,Essential,1,649817,1,131
-87.493464,30.988827,w,442110,Nonessential,1,617117,1,132
-87.493014,30.93129,w,541219,Essential,1,718103,1,133
-87.492933,30.31272,w,532490,Essential,2,949952,1,134
-87.4928115,30.938724,w,561990,Essential*,1,531045,1,135
-87.4926315,30.312765,w,561990,Essential*,5,751374,1,136
-87.4926,30.287934,w,561499,Essential*,1,755482,1,137
-87.492411,30.318273,w,488390,Essential,1,514282,1,138
-87.492411,30.88809,w,999999,"",1,661724,1,139
-87.492123,30.316653,w,541618,Essential*,1,897399,1,140
-87.4920071365256,30.9844916702097,w,813110,Essential*,1,662730,1,141
-87.4916505,30.98754,w,561990,Essential*,1,733799,1,142
-87.4916423290209,30.9814689948067,w,453220,Nonessential,1,894874,1,143
-87.4915335,30.287664,w,238990,Essential*,1,841700,1,144
-87.49152,30.287349,w,236115,Essential,11,897751,1,145
-87.4914525,30.313773,w,484121,Essential,1,932411,1,146
-87.491313,30.875697,w,111920,Essential,1,687714,1,147
-87.4910205,30.981663,w,423440,Nonessential,1,566427,1,148
-87.4910205,30.981663,w,561990,Essential*,1,599053,1,149
-87.4909305,30.312639,w,561990,Essential*,1,542555,1,150
-87.490773,30.315258,w,812112,Nonessential,1,481297,1,151
-87.490512,30.287304,w,453220,Nonessential,1,765124,1,152
-87.490251,30.31254,w,611620,Essential*,1,629845,1,153
-87.48999,30.312522,w,999999,"",2,606234,1,154
-87.4899343322197,30.9920259495279,w,221310,Essential,1,632213,1,155
-87.489864,30.946788,w,812112,Nonessential,1,572201,1,156
-87.489864,30.996639,w,624410,Essential,1,651650,1,157
-87.489864,30.996639,w,624410,Essential,1,870111,1,158
-87.489864,30.996639,w,999999,"",1,562579,1,159
-87.4897515,30.997386,w,453220,Nonessential,1,891346,1,160
-87.4894635,30.287637,w,722320,Essential*,1,837312,1,161
-87.48945,30.312774,w,541618,Essential*,1,521052,1,162
-87.4893015,30.775455,w,238910,Essential,1,655384,1,163
-87.4892925,30.983616,w,541690,Essential*,1,926316,1,164
-87.4892925,30.983616,w,611620,Essential*,1,597841,1,165
-87.4892893829166,30.9943912133828,w,452319,"",1,949029,1,166
-87.4892513409176,30.9945338708791,w,713290,Nonessential,1,486891,1,167
-87.4892322285544,30.99460494135,w,445230,Essential,1,492980,1,168
-87.4892129122614,30.9946762118103,w,541990,Essential*,1,650168,1,169
-87.4892129122614,30.9946762118103,w,812112,Nonessential,1,926750,1,170
