Week,median_age,mean_age
10,75,74
11,76,73.4421052631579
12,75,73.0752212389381
13,75,73.2123287671233
14,77,75.8039772727273
15,79,77.1074168797954
16,80,78.2032085561497
17,82,78.8739255014327
18,83,80.5347432024169
19,80,78.7479338842975
20,82,79.6793103448276
21,80,77.6284403669725
22,82,78.1971153846154
23,78,76.0334728033473
24,78,75.3846153846154
25,77,74.6608315098468
26,76,73.8660598179454
27,77,74.9400921658986
28,77,75.4927835051546
29,79,77.5617647058824
30,79,77.5193423597679
31,79,77.4044943820225
32,80,78.0299785867238
33,80,77.6354838709678
34,83,79.6283783783784
35,81.5,78.9444444444445
36,88,77.3076923076923
