Week,median_age,mean_age
10,60.5,59.2535211267606
11,64,61.6728110599078
12,63,61.8570135746606
13,64,62.5600303951368
14,64,62.4302241503977
15,67,65.449263502455
16,70,67.0646718146718
17,71,67.9474299065421
18,72,68.4042553191489
19,69,66.4108322324967
20,69,65.5632306057386
21,67,64.6532846715328
22,62,60.6372430471584
23,59,58.2012847965739
24,58,57.550736497545
25,60,58.6442417331813
26,61,59.226883910387
27,62,60.8615199759688
28,65,62.8732804232804
29,67,63.9443832599119
30,67,64.4273199221285
31,66,63.1555285540705
32,67,64.1068012752391
33,68,64.9936143039591
34,69,65.935368043088
35,71,65.7140845070423
36,73,67.9268292682927
