Age,Year,Week,week_end_date,observed,expected,excess
25-44 years,2020,11,2020-03-14,217,204.379279348219,12.6207206517814
25-44 years,2020,12,2020-03-21,215,204.379279348219,10.6207206517814
25-44 years,2020,13,2020-03-28,232,204.379279348219,27.6207206517814
25-44 years,2020,14,2020-04-04,234,204.379279348219,29.6207206517814
25-44 years,2020,15,2020-04-11,246,204.379279348219,41.6207206517814
25-44 years,2020,16,2020-04-18,219,204.379279348219,14.6207206517814
25-44 years,2020,17,2020-04-25,224,204.379279348219,19.6207206517814
25-44 years,2020,18,2020-05-02,240,204.379279348219,35.6207206517814
25-44 years,2020,19,2020-05-09,220,204.379279348219,15.6207206517814
25-44 years,2020,20,2020-05-16,227,204.379279348219,22.6207206517814
25-44 years,2020,21,2020-05-23,251,204.379279348219,46.6207206517814
25-44 years,2020,22,2020-05-30,263,204.379279348219,58.6207206517814
25-44 years,2020,23,2020-06-06,224,204.379279348219,19.6207206517814
25-44 years,2020,24,2020-06-13,234,204.379279348219,29.6207206517814
25-44 years,2020,25,2020-06-20,239,204.379279348219,34.6207206517814
25-44 years,2020,26,2020-06-27,258,204.379279348219,53.6207206517814
25-44 years,2020,27,2020-07-04,264,204.379279348219,59.6207206517814
25-44 years,2020,28,2020-07-11,279,204.379279348219,74.6207206517814
25-44 years,2020,29,2020-07-18,281,204.379279348219,76.6207206517814
25-44 years,2020,30,2020-07-25,261,204.379279348219,56.6207206517814
25-44 years,2020,31,2020-08-01,262,204.379279348219,57.6207206517814
25-44 years,2020,32,2020-08-08,257,204.379279348219,52.6207206517814
25-44 years,2020,33,2020-08-15,258,204.379279348219,53.6207206517814
25-44 years,2020,34,2020-08-22,234,204.379279348219,29.6207206517814
25-44 years,2020,35,2020-08-29,238,204.379279348219,33.6207206517814
25-44 years,2020,36,2020-09-05,256,204.379279348219,51.6207206517814
25-44 years,2020,37,2020-09-12,222,204.379279348219,17.6207206517814
25-44 years,2020,38,2020-09-19,270,204.379279348219,65.6207206517814
25-44 years,2020,39,2020-09-26,236,204.379279348219,31.6207206517814
25-44 years,2020,40,2020-10-03,228,204.379279348219,23.6207206517814
25-44 years,2020,41,2020-10-10,246,204.379279348219,41.6207206517814
25-44 years,2020,42,2020-10-17,212,204.379279348219,7.62072065178143
25-44 years,2020,43,2020-10-24,220,204.379279348219,15.6207206517814
25-44 years,2020,44,2020-10-31,227,204.379279348219,22.6207206517814
25-44 years,2020,45,2020-11-07,264,204.379279348219,59.6207206517814
25-44 years,2020,46,2020-11-14,232,204.379279348219,27.6207206517814
25-44 years,2020,47,2020-11-21,225,204.379279348219,20.6207206517814
25-44 years,2020,48,2020-11-28,232,204.379279348219,27.6207206517814
25-44 years,2020,49,2020-12-05,221,204.379279348219,16.6207206517814
25-44 years,2020,50,2020-12-12,251,204.379279348219,46.6207206517814
25-44 years,2020,51,2020-12-19,227,204.379279348219,22.6207206517814
25-44 years,2020,52,2020-12-26,249,204.379279348219,44.6207206517814
25-44 years,2020,53,2021-01-02,279,204.379279348219,74.6207206517814
25-44 years,2021,2,2021-01-16,253,204.379279348219,48.6207206517814
25-44 years,2021,3,2021-01-23,236,204.379279348219,31.6207206517814
25-44 years,2021,4,2021-01-30,261,204.379279348219,56.6207206517814
25-44 years,2021,5,2021-02-06,273,204.379279348219,68.6207206517814
25-44 years,2021,6,2021-02-13,272,204.379279348219,67.6207206517814
25-44 years,2021,7,2021-02-20,233,204.379279348219,28.6207206517814
25-44 years,2021,8,2021-02-27,233,204.379279348219,28.6207206517814
25-44 years,2021,9,2021-03-06,238,204.379279348219,33.6207206517814
25-44 years,2021,10,2021-03-13,247,204.379279348219,42.6207206517814
25-44 years,2021,11,2021-03-20,248,204.379279348219,43.6207206517814
25-44 years,2021,12,2021-03-27,273,204.379279348219,68.6207206517814
25-44 years,2021,13,2021-04-03,254,204.379279348219,49.6207206517814
25-44 years,2021,14,2021-04-10,267,204.379279348219,62.6207206517814
25-44 years,2021,15,2021-04-17,286,204.379279348219,81.6207206517814
25-44 years,2021,16,2021-04-24,252,204.379279348219,47.6207206517814
25-44 years,2021,17,2021-05-01,264,204.379279348219,59.6207206517814
25-44 years,2021,18,2021-05-08,285,204.379279348219,80.6207206517814
25-44 years,2021,19,2021-05-15,280,204.379279348219,75.6207206517814
25-44 years,2021,20,2021-05-22,245,204.379279348219,40.6207206517814
25-44 years,2021,21,2021-05-29,264,204.379279348219,59.6207206517814
25-44 years,2021,22,2021-06-05,269,204.379279348219,64.6207206517814
25-44 years,2021,23,2021-06-12,273,204.379279348219,68.6207206517814
25-44 years,2021,24,2021-06-19,267,204.379279348219,62.6207206517814
25-44 years,2021,25,2021-06-26,276,204.379279348219,71.6207206517814
25-44 years,2021,26,2021-07-03,233,204.379279348219,28.6207206517814
25-44 years,2021,27,2021-07-10,245,204.379279348219,40.6207206517814
25-44 years,2021,28,2021-07-17,271,204.379279348219,66.6207206517814
25-44 years,2021,29,2021-07-24,280,204.379279348219,75.6207206517814
25-44 years,2021,30,2021-07-31,370,204.379279348219,165.620720651781
25-44 years,2021,31,2021-08-07,382,204.379279348219,177.620720651781
25-44 years,2021,32,2021-08-14,443,204.379279348219,238.620720651781
25-44 years,2021,33,2021-08-21,429,204.379279348219,224.620720651781
25-44 years,2021,34,2021-08-28,493,204.379279348219,288.620720651781
25-44 years,2021,35,2021-09-04,458,204.379279348219,253.620720651781
25-44 years,2021,36,2021-09-11,416,204.379279348219,211.620720651781
25-44 years,2021,37,2021-09-18,364,204.379279348219,159.620720651781
25-44 years,2021,38,2021-09-25,369,204.379279348219,164.620720651781
25-44 years,2021,39,2021-10-02,327,204.379279348219,122.620720651781
25-44 years,2021,40,2021-10-09,286,204.379279348219,81.6207206517814
25-44 years,2021,41,2021-10-16,314,204.379279348219,109.620720651781
25-44 years,2021,42,2021-10-23,277,204.379279348219,72.6207206517814
25-44 years,2021,43,2021-10-30,256,204.379279348219,51.6207206517814
25-44 years,2021,44,2021-11-06,261,204.379279348219,56.6207206517814
25-44 years,2021,45,2021-11-13,259,204.379279348219,54.6207206517814
25-44 years,2021,46,2021-11-20,266,204.379279348219,61.6207206517814
25-44 years,2021,47,2021-11-27,258,204.379279348219,53.6207206517814
25-44 years,2021,48,2021-12-04,255,204.379279348219,50.6207206517814
25-44 years,2021,49,2021-12-11,247,204.379279348219,42.6207206517814
25-44 years,2021,50,2021-12-18,263,204.379279348219,58.6207206517814
25-44 years,2021,51,2021-12-25,233,204.379279348219,28.6207206517814
25-44 years,2021,52,2022-01-01,295,204.379279348219,90.6207206517814
25-44 years,2022,1,2022-01-08,250,204.379279348219,45.6207206517814
25-44 years,2022,2,2022-01-15,267,204.379279348219,62.6207206517814
25-44 years,2022,3,2022-01-22,260,204.379279348219,55.6207206517814
25-44 years,2022,4,2022-01-29,247,204.379279348219,42.6207206517814
25-44 years,2022,5,2022-02-05,268,204.379279348219,63.6207206517814
25-44 years,2022,6,2022-02-12,265,204.379279348219,60.6207206517814
25-44 years,2022,7,2022-02-19,257,204.379279348219,52.6207206517814
25-44 years,2022,8,2022-02-26,228,204.379279348219,23.6207206517814
25-44 years,2022,9,2022-03-05,232,204.379279348219,27.6207206517814
25-44 years,2022,10,2022-03-12,290,204.379279348219,85.6207206517814
25-44 years,2022,11,2022-03-19,259,204.379279348219,54.6207206517814
25-44 years,2022,12,2022-03-26,235,204.379279348219,30.6207206517814
25-44 years,2022,13,2022-04-02,247,204.379279348219,42.6207206517814
25-44 years,2022,14,2022-04-09,200,204.379279348219,-4.37927934821857
25-44 years,2022,15,2022-04-16,243,204.379279348219,38.6207206517814
25-44 years,2022,16,2022-04-23,215,204.379279348219,10.6207206517814
25-44 years,2022,17,2022-04-30,230,204.379279348219,25.6207206517814
25-44 years,2022,18,2022-05-07,223,204.379279348219,18.6207206517814
25-44 years,2022,19,2022-05-14,207,204.379279348219,2.62072065178143
25-44 years,2022,20,2022-05-21,222,204.379279348219,17.6207206517814
45-64 years,2020,11,2020-03-14,734,767.763061912433,-33.7630619124327
45-64 years,2020,12,2020-03-21,734,751.745543509641,-17.7455435096409
45-64 years,2020,13,2020-03-28,733,756.083621410397,-23.0836214103971
45-64 years,2020,14,2020-04-04,775,761.255945061299,13.7440549387014
45-64 years,2020,15,2020-04-11,766,767.929911062462,-1.92991106246188
45-64 years,2020,16,2020-04-18,774,760.588548461182,13.4114515388177
45-64 years,2020,17,2020-04-25,806,747.741163908943,58.258836091057
45-64 years,2020,18,2020-05-02,795,753.414035009932,41.5859649900682
45-64 years,2020,19,2020-05-09,810,757.251565460601,52.7484345393993
45-64 years,2020,20,2020-05-16,750,750.410750309408,-0.410750309408286
45-64 years,2020,21,2020-05-23,788,753.914582460019,34.085417539981
45-64 years,2020,22,2020-05-30,739,756.250470560426,-17.2504705604262
45-64 years,2020,23,2020-06-06,762,765.594022962055,-3.59402296205474
45-64 years,2020,24,2020-06-13,780,757.084716310572,22.9152836894284
45-64 years,2020,25,2020-06-20,775,755.58307396031,19.4169260396901
45-64 years,2020,26,2020-06-27,803,755.749923110339,47.250076889661
45-64 years,2020,27,2020-07-04,885,755.249375660252,129.750624339748
45-64 years,2020,28,2020-07-11,897,758.920056960892,138.079943039108
45-64 years,2020,29,2020-07-18,922,750.410750309408,171.589249690592
45-64 years,2020,30,2020-07-25,971,752.412940109757,218.587059890243
