Date,rcase,rdeath
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,2,0
2020-03-08,0,0
2020-03-09,1,0
2020-03-10,1,0
2020-03-11,0,0
2020-03-12,3,0
2020-03-13,5,0
2020-03-14,13,0
2020-03-15,16,0
2020-03-16,6,0
2020-03-17,8,0
2020-03-18,27,0
2020-03-19,14,0
2020-03-20,32,0
2020-03-21,38,0
2020-03-22,70,3
2020-03-23,43,0
2020-03-24,42,0
2020-03-25,124,0
2020-03-26,84,0
2020-03-27,101,7
2020-03-28,148,1
2020-03-29,188,0
2020-03-30,163,1
2020-03-31,86,0
2020-04-01,119,1
2020-04-02,162,4
2020-04-03,113,5
2020-04-04,180,10
2020-04-05,106,8
2020-04-06,190,7
2020-04-07,151,7
2020-04-08,136,4
2020-04-09,127,9
2020-04-10,217,5
2020-04-11,121,4
2020-04-12,109,3
2020-04-13,224,1
2020-04-14,73,1
2020-04-15,119,11
2020-04-16,184,9
2020-04-17,151,6
2020-04-18,142,8
2020-04-19,132,0
2020-04-20,121,7
2020-04-21,106,4
2020-04-22,114,18
2020-04-23,219,16
2020-04-24,98,5
2020-04-25,103,0
2020-04-26,53,8
2020-04-27,52,4
2020-04-28,44,5
2020-04-29,66,4
2020-04-30,188,3
2020-05-01,110,14
2020-05-02,62,5
2020-05-03,67,3
2020-05-04,107,1
2020-05-05,64,24
2020-05-06,82,4
2020-05-07,48,11
2020-05-08,55,18
2020-05-09,90,9
2020-05-10,21,0
2020-05-11,69,1
2020-05-12,60,0
2020-05-13,52,9
2020-05-14,71,0
2020-05-15,41,5
2020-05-16,84,7
2020-05-17,86,1
2020-05-18,47,2
2020-05-19,47,1
2020-05-20,95,2
2020-05-21,62,2
2020-05-22,72,0
2020-05-23,41,6
2020-05-24,77,0
2020-05-25,39,6
2020-05-26,35,2
2020-05-27,40,5
2020-05-28,104,1
2020-05-29,81,1
2020-05-30,69,5
2020-05-31,72,0
2020-06-01,51,1
2020-06-02,85,3
2020-06-03,101,1
2020-06-04,107,7
2020-06-05,96,2
2020-06-06,144,7
2020-06-07,114,5
2020-06-08,140,4
2020-06-09,118,3
2020-06-10,149,3
2020-06-11,227,2
2020-06-12,251,-1
2020-06-13,113,7
2020-06-14,129,0
2020-06-15,421,2
2020-06-16,284,0
2020-06-17,277,7
2020-06-18,270,2
2020-06-19,341,3
2020-06-20,505,3
2020-06-21,133,0
2020-06-22,463,4
2020-06-23,446,1
2020-06-24,369,1
2020-06-25,728,2
2020-06-26,703,1
2020-06-27,558,0
2020-06-28,443,0
2020-06-29,598,1
2020-06-30,533,2
2020-07-01,948,9
2020-07-02,1095,12
2020-07-03,1336,3
2020-07-04,1626,3
2020-07-05,624,2
2020-07-06,742,4
2020-07-07,1166,1
2020-07-08,1308,8
2020-07-09,1584,11
2020-07-10,1541,18
2020-07-11,1756,9
2020-07-12,1412,0
2020-07-13,1328,0
2020-07-14,1311,0
2020-07-15,1414,0
2020-07-16,1320,13
2020-07-17,1216,11
2020-07-18,1147,6
2020-07-19,1684,20
2020-07-20,1581,5
2020-07-21,1161,12
2020-07-22,1249,7
2020-07-23,1561,10
2020-07-24,1569,34
2020-07-25,1154,25
2020-07-26,1420,2
2020-07-27,881,0
2020-07-28,1310,31
2020-07-29,1357,38
2020-07-30,1081,33
2020-07-31,1339,33
2020-08-01,1176,3
2020-08-02,568,3
2020-08-03,437,17
2020-08-04,425,18
2020-08-05,729,-1
2020-08-06,687,0
2020-08-07,885,8
2020-08-08,693,14
2020-08-09,656,18
2020-08-10,714,35
2020-08-11,518,3
2020-08-12,683,24
2020-08-13,648,31
2020-08-14,660,26
2020-08-15,463,40
2020-08-16,392,33
2020-08-17,414,12
2020-08-18,359,24
2020-08-19,535,2
2020-08-20,492,17
2020-08-21,382,20
2020-08-22,254,25
2020-08-23,219,19
2020-08-24,201,15
2020-08-25,315,13
2020-08-26,287,9
2020-08-27,381,6
2020-08-28,265,8
2020-08-29,197,0
2020-08-30,183,1
