Date,rcase,rdeath
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,1,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,1,0
2020-03-13,2,0
2020-03-14,10,0
2020-03-15,8,0
2020-03-16,6,0
2020-03-17,26,0
2020-03-18,24,0
2020-03-19,21,0
2020-03-20,23,0
2020-03-21,51,0
2020-03-22,84,0
2020-03-23,38,0
2020-03-24,88,0
2020-03-25,150,0
2020-03-26,172,0
2020-03-27,198,2
2020-03-28,262,1
2020-03-29,346,0
2020-03-30,244,1
2020-03-31,415,3
2020-04-01,250,0
2020-04-02,489,13
2020-04-03,513,5
2020-04-04,467,6
2020-04-05,255,0
2020-04-06,493,10
2020-04-07,432,6
2020-04-08,407,2
2020-04-09,348,17
2020-04-10,427,18
2020-04-11,438,9
2020-04-12,278,7
2020-04-13,362,12
2020-04-14,258,31
2020-04-15,337,3
2020-04-16,395,37
2020-04-17,411,12
2020-04-18,195,3
2020-04-19,303,9
2020-04-20,297,16
2020-04-21,359,10
2020-04-22,285,8
2020-04-23,351,30
2020-04-24,343,17
2020-04-25,375,8
2020-04-26,208,6
2020-04-27,294,1
2020-04-28,94,22
2020-04-29,121,14
2020-04-30,320,14
2020-05-01,233,6
2020-05-02,145,9
2020-05-03,292,2
2020-05-04,152,9
2020-05-05,163,33
2020-05-06,152,25
2020-05-07,98,23
2020-05-08,163,15
2020-05-09,227,14
2020-05-10,157,5
2020-05-11,164,3
2020-05-12,153,15
2020-05-13,277,14
2020-05-14,213,18
2020-05-15,175,13
2020-05-16,541,11
2020-05-17,143,2
2020-05-18,122,5
2020-05-19,65,12
2020-05-20,327,12
2020-05-21,184,12
2020-05-22,160,13
2020-05-23,124,15
2020-05-24,220,2
2020-05-25,113,2
2020-05-26,96,0
2020-05-27,144,22
2020-05-28,258,15
2020-05-29,166,16
2020-05-30,201,15
2020-05-31,138,0
2020-06-01,83,2
2020-06-02,245,20
2020-06-03,275,9
2020-06-04,217,15
2020-06-05,223,14
2020-06-06,329,5
2020-06-07,227,0
2020-06-08,236,2
2020-06-09,262,7
2020-06-10,295,12
2020-06-11,259,16
2020-06-12,693,11
2020-06-13,294,13
2020-06-14,262,3
2020-06-15,523,1
2020-06-16,509,21
2020-06-17,562,12
2020-06-18,553,5
2020-06-19,618,10
2020-06-20,901,10
2020-06-21,427,0
2020-06-22,674,18
2020-06-23,909,24
2020-06-24,886,9
2020-06-25,1530,11
2020-06-26,1355,1
2020-06-27,2124,6
2020-06-28,1521,22
2020-06-29,1588,16
2020-06-30,1133,9
2020-07-01,2290,18
2020-07-02,2037,16
2020-07-03,2441,4
2020-07-04,2274,5
2020-07-05,1968,8
2020-07-06,2035,6
2020-07-07,2935,11
2020-07-08,1987,24
2020-07-09,2351,26
2020-07-10,2532,14
2020-07-11,3573,7
2020-07-12,3215,4
2020-07-13,2126,32
2020-07-14,2472,27
2020-07-15,3076,44
2020-07-16,2414,24
2020-07-17,3126,4
2020-07-18,3220,29
2020-07-19,2830,7
2020-07-20,2494,16
2020-07-21,2761,17
2020-07-22,2692,12
2020-07-23,3350,16
2020-07-24,3369,9
2020-07-25,2882,9
2020-07-26,2548,16
2020-07-27,3016,21
2020-07-28,2750,30
2020-07-29,2742,60
2020-07-30,2521,96
2020-07-31,2721,36
2020-08-01,1468,22
2020-08-02,960,25
2020-08-03,1134,30
2020-08-04,1191,51
2020-08-05,1709,9
2020-08-06,1709,25
2020-08-07,1773,29
2020-08-08,1199,27
2020-08-09,1137,9
2020-08-10,1502,35
2020-08-11,4063,30
2020-08-12,1717,15
2020-08-13,1671,45
2020-08-14,1728,48
2020-08-15,923,10
2020-08-16,729,24
2020-08-17,962,45
2020-08-18,1097,40
2020-08-19,1078,19
2020-08-20,1141,34
2020-08-21,941,19
2020-08-22,763,5
2020-08-23,509,10
2020-08-24,801,24
2020-08-25,783,41
2020-08-26,630,29
2020-08-27,660,26
2020-08-28,606,28
2020-08-29,511,4
2020-08-30,338,34
2020-08-31,2100,101
2020-09-01,339,17
2020-09-02,577,46
2020-09-03,479,32
2020-09-04,550,18
2020-09-05,320,5
2020-09-06,274,3
2020-09-07,365,8
2020-09-08,436,75
2020-09-09,459,49
2020-09-10,439,47
2020-09-11,432,46
2020-09-12,289,-2
2020-09-13,252,14
2020-09-14,409,29
2020-09-15,469,32
2020-09-16,451,22
2020-09-17,409,50
2020-09-18,561,29
2020-09-19,377,0
2020-09-20,282,0
2020-09-21,359,30
2020-09-22,376,42
2020-09-23,394,36
2020-09-24,502,39
2020-09-25,380,29
2020-09-26,278,0
2020-09-27,70,-3
2020-09-28,622,15
2020-09-29,365,37
2020-09-30,528,4
2020-10-01,515,30
2020-10-02,491,15
2020-10-03,350,4
2020-10-04,198,0
2020-10-05,462,15
2020-10-06,413,19
2020-10-07,457,19
2020-10-08,403,22
2020-10-09,291,30
2020-10-10,717,6
2020-10-11,294,21
2020-10-12,485,20
2020-10-13,442,16
2020-10-14,543,19
2020-10-15,542,17
2020-10-16,545,3
2020-10-17,475,7
2020-10-18,397,14
2020-10-19,562,11
2020-10-20,350,0
2020-10-21,861,13
2020-10-22,521,12
2020-10-23,619,8
2020-10-24,314,7
2020-10-25,606,3
2020-10-26,725,9
2020-10-27,743,1
2020-10-28,671,9
2020-10-29,863,10
2020-10-30,345,4
2020-10-31,1302,15
2020-11-01,581,7
2020-11-02,866,6
2020-11-03,705,-5
2020-11-04,1385,0
2020-11-05,1068,1
2020-11-06,802,11
2020-11-07,1703,1
2020-11-08,520,5
2020-11-09,408,2
2020-11-10,709,3
2020-11-11,1211,8
2020-11-12,1870,5
2020-11-13,1190,1
2020-11-14,2384,2
2020-11-15,1006,0
2020-11-16,1874,14
2020-11-17,1676,8
2020-11-18,1957,7
2020-11-19,2060,8
2020-11-20,1909,7
2020-11-21,1750,13
2020-11-22,1466,16
2020-11-23,1852,7
2020-11-24,2108,3
2020-11-25,1984,0
2020-11-26,1744,8
2020-11-27,1480,24
2020-11-28,1996,11
2020-11-29,1993,1
2020-11-30,2147,4
2020-12-01,2274,21
2020-12-02,2241,8
2020-12-03,2495,20
2020-12-04,2226,8
2020-12-05,1996,17
2020-12-06,2025,21
2020-12-07,1687,-8
2020-12-08,2105,4
2020-12-09,2298,13
2020-12-10,2158,16
2020-12-11,2081,6
2020-12-12,2424,16
2020-12-13,2266,21
2020-12-14,2127,5
2020-12-15,2370,12
2020-12-16,2495,5
2020-12-17,2425,12
2020-12-18,2344,16
2020-12-19,1982,16
2020-12-20,2247,31
2020-12-21,2263,-2
2020-12-22,2217,1
2020-12-23,2299,12
2020-12-24,1872,0
2020-12-25,1478,19
2020-12-26,1603,23
2020-12-27,2090,5
2020-12-28,2849,9
2020-12-29,2695,5
2020-12-30,2895,19
2020-12-31,3680,0
2021-01-01,1675,53
2021-01-02,1620,12
2021-01-03,2646,5
2021-01-04,3377,1
2021-01-05,3132,3
2021-01-06,3405,37
2021-01-07,3385,35
2021-01-08,2619,33
2021-01-09,2424,48
2021-01-10,2248,28
2021-01-11,2950,11
2021-01-12,2562,20
2021-01-13,2486,28
2021-01-14,2719,29
2021-01-15,2418,33
2021-01-16,2415,34
2021-01-17,1820,23
2021-01-18,1874,5
2021-01-19,2288,8
2021-01-20,2151,15
2021-01-21,2275,35
2021-01-22,2338,25
2021-01-23,1786,27
2021-01-24,2027,17
2021-01-25,1750,12
2021-01-26,1498,9
2021-01-27,2004,29
2021-01-28,2012,21
2021-01-29,2513,28
2021-01-30,1459,29
2021-01-31,1285,32
2021-02-01,1892,2
2021-02-02,1210,12
2021-02-03,1430,22
2021-02-04,2200,22
2021-02-05,1461,15
2021-02-06,1533,32
2021-02-07,1269,28
2021-02-08,1493,19
2021-02-09,1517,4
2021-02-10,1564,19
2021-02-11,1622,40
2021-02-12,1421,20
2021-02-13,1354,29
2021-02-14,656,16
2021-02-15,1510,21
2021-02-16,1402,22
2021-02-17,840,13
2021-02-18,1576,32
2021-02-19,1528,10
2021-02-20,1125,10
2021-02-21,1013,24
2021-02-22,1268,24
2021-02-23,1145,15
2021-02-24,1415,16
2021-02-25,1163,26
2021-02-26,1171,27
2021-02-27,999,8
2021-02-28,338,20
2021-03-01,1883,33
2021-03-02,1033,22
2021-03-03,1277,9
2021-03-04,1380,19
2021-03-05,1019,24
2021-03-06,1076,4
2021-03-07,897,2
2021-03-08,1123,53
2021-03-09,1087,8
2021-03-10,1166,0
2021-03-11,1146,19
2021-03-12,1294,13
2021-03-13,845,9
2021-03-14,746,9
2021-03-15,1333,19
2021-03-16,1029,11
2021-03-17,1945,11
2021-03-18,1214,6
2021-03-19,1264,8
2021-03-20,944,1
2021-03-21,850,3
2021-03-22,1289,14
2021-03-23,1059,9
2021-03-24,1270,16
2021-03-25,1309,26
2021-03-26,1311,5
2021-03-27,1068,17
2021-03-28,1009,1
2021-03-29,1294,30
2021-03-30,990,10
2021-03-31,1611,23
2021-04-01,1429,12
2021-04-02,1416,10
2021-04-03,1209,17
2021-04-04,910,0
2021-04-05,1530,7
2021-04-06,1083,6
2021-04-07,1963,10
2021-04-08,1624,15
2021-04-09,1601,15
2021-04-10,1223,12
2021-04-11,405,-1
2021-04-12,2340,13
2021-04-13,1203,3
2021-04-14,1451,19
2021-04-15,1483,15
2021-04-16,1472,14
2021-04-17,1238,1
2021-04-18,981,5
2021-04-19,1367,9
2021-04-20,1158,1
2021-04-21,1185,18
2021-04-22,969,12
2021-04-23,1520,8
2021-04-24,948,15
2021-04-25,821,14
2021-04-26,1068,5
2021-04-27,930,10
2021-04-28,1088,1
2021-04-29,947,19
2021-04-30,1156,16
2021-05-01,840,8
2021-05-02,751,4
2021-05-03,796,20
2021-05-04,770,1
2021-05-05,862,11
2021-05-06,819,16
2021-05-07,829,14
2021-05-08,651,6
2021-05-09,505,7
2021-05-10,698,14
2021-05-11,542,2
2021-05-12,791,3
2021-05-13,720,12
2021-05-14,641,12
2021-05-15,521,2
2021-05-16,473,15
2021-05-17,556,14
2021-05-18,519,1
2021-05-19,521,10
2021-05-20,424,19
2021-05-21,708,6
2021-05-22,452,2
2021-05-23,402,1
2021-05-24,302,27
2021-05-25,397,2
2021-05-26,441,11
